Fuel, Capacity, GHG_MWh, Timezone
'BIOMASS', '394.0', '0.0', 'America/Edmonton'
'COAL', '4094.0', '880.0', 'America/Edmonton'
'CO_GEN', '56.7', '0.0', 'America/Edmonton'
'HYDRO_RES', '907.8', '17.0', 'America/Edmonton'
'NATGAS', '6001.3', '620.0', 'America/Edmonton'
'SOLAR_PV', '277.2', '64.0', 'America/Edmonton'
'STORAGE', '30.0', '15.0', 'America/Edmonton'
'WIND', '1935.1', '14.0', 'America/Edmonton'
