UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '4', '17', '2019', '1', '4', '10', '38657.96772'
'2019', '1', '4', '18', '2019', '1', '4', '11', '31428.929439'
'2019', '1', '4', '19', '2019', '1', '4', '12', '29235.329062999997'
'2019', '1', '4', '20', '2019', '1', '4', '13', '20267.973657'
'2019', '1', '4', '21', '2019', '1', '4', '14', '28552.145141'
'2019', '1', '4', '22', '2019', '1', '4', '15', '22133.3145'
'2019', '1', '4', '23', '2019', '1', '4', '16', '546.4010619999999'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '4', '0.0'
'2019', '1', '5', '12', '2019', '1', '5', '5', '0.0'
'2019', '1', '5', '13', '2019', '1', '5', '6', '0.0'
'2019', '1', '5', '14', '2019', '1', '5', '7', '0.0'
'2019', '1', '5', '15', '2019', '1', '5', '8', '144.55507500000002'
'2019', '1', '5', '16', '2019', '1', '5', '9', '28182.768165'
'2019', '1', '5', '17', '2019', '1', '5', '10', '72473.984079'
'2019', '1', '5', '18', '2019', '1', '5', '11', '62097.34003200001'
'2019', '1', '5', '19', '2019', '1', '5', '12', '39038.415187000006'
'2019', '1', '5', '20', '2019', '1', '5', '13', '55928.215196'
'2019', '1', '5', '21', '2019', '1', '5', '14', '72212.874344'
'2019', '1', '5', '22', '2019', '1', '5', '15', '42443.931883'
'2019', '1', '5', '23', '2019', '1', '5', '16', '1660.10575'
'2019', '1', '6', '0', '2019', '1', '5', '17', '0.0'
'2019', '1', '6', '1', '2019', '1', '5', '18', '0.0'
'2019', '1', '6', '2', '2019', '1', '5', '19', '0.0'
'2019', '1', '6', '3', '2019', '1', '5', '20', '0.0'
'2019', '1', '6', '4', '2019', '1', '5', '21', '0.0'
'2019', '1', '6', '5', '2019', '1', '5', '22', '0.0'
'2019', '1', '6', '6', '2019', '1', '5', '23', '0.0'
'2019', '1', '6', '7', '2019', '1', '6', '0', '0.0'
'2019', '1', '6', '8', '2019', '1', '6', '1', '0.0'
'2019', '1', '6', '9', '2019', '1', '6', '2', '0.0'
'2019', '1', '6', '10', '2019', '1', '6', '3', '0.0'
'2019', '1', '6', '11', '2019', '1', '6', '4', '0.0'
'2019', '1', '6', '12', '2019', '1', '6', '5', '0.0'
'2019', '1', '6', '13', '2019', '1', '6', '6', '0.0'
'2019', '1', '6', '14', '2019', '1', '6', '7', '0.0'
'2019', '1', '6', '15', '2019', '1', '6', '8', '288.450219'
'2019', '1', '6', '16', '2019', '1', '6', '9', '10385.378305999999'
'2019', '1', '6', '17', '2019', '1', '6', '10', '39269.375141'
'2019', '1', '6', '18', '2019', '1', '6', '11', '34900.566625'
'2019', '1', '6', '19', '2019', '1', '6', '12', '35552.473813'
'2019', '1', '6', '20', '2019', '1', '6', '13', '40971.805398'
'2019', '1', '6', '21', '2019', '1', '6', '14', '57662.662764'
'2019', '1', '6', '22', '2019', '1', '6', '15', '21267.206949'
'2019', '1', '6', '23', '2019', '1', '6', '16', '1160.4794069999998'
