UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '4', '17', '2019', '1', '4', '10', '39.464937689'
'2019', '1', '4', '18', '2019', '1', '4', '11', '32.91950197'
'2019', '1', '4', '19', '2019', '1', '4', '12', '29.371068489'
'2019', '1', '4', '20', '2019', '1', '4', '13', '25.847809907'
'2019', '1', '4', '21', '2019', '1', '4', '14', '29.141527468999996'
'2019', '1', '4', '22', '2019', '1', '4', '15', '23.074965500999998'
'2019', '1', '4', '23', '2019', '1', '4', '16', '0.546401062'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '4', '0.0'
'2019', '1', '5', '12', '2019', '1', '5', '5', '0.0'
'2019', '1', '5', '13', '2019', '1', '5', '6', '0.0'
'2019', '1', '5', '14', '2019', '1', '5', '7', '0.0'
'2019', '1', '5', '15', '2019', '1', '5', '8', '0.14455507499999998'
'2019', '1', '5', '16', '2019', '1', '5', '9', '34.431811415'
'2019', '1', '5', '17', '2019', '1', '5', '10', '85.206282079'
'2019', '1', '5', '18', '2019', '1', '5', '11', '72.354689782'
'2019', '1', '5', '19', '2019', '1', '5', '12', '46.926736186999996'
'2019', '1', '5', '20', '2019', '1', '5', '13', '65.88241794600002'
'2019', '1', '5', '21', '2019', '1', '5', '14', '84.52525384399999'
'2019', '1', '5', '22', '2019', '1', '5', '15', '48.901542883'
'2019', '1', '5', '23', '2019', '1', '5', '16', '1.66010575'
'2019', '1', '6', '0', '2019', '1', '5', '17', '0.0'
'2019', '1', '6', '1', '2019', '1', '5', '18', '0.0'
'2019', '1', '6', '2', '2019', '1', '5', '19', '0.0'
'2019', '1', '6', '3', '2019', '1', '5', '20', '0.0'
'2019', '1', '6', '4', '2019', '1', '5', '21', '0.0'
'2019', '1', '6', '5', '2019', '1', '5', '22', '0.0'
'2019', '1', '6', '6', '2019', '1', '5', '23', '0.0'
'2019', '1', '6', '7', '2019', '1', '6', '0', '0.0'
'2019', '1', '6', '8', '2019', '1', '6', '1', '0.0'
'2019', '1', '6', '9', '2019', '1', '6', '2', '0.0'
'2019', '1', '6', '10', '2019', '1', '6', '3', '0.0'
'2019', '1', '6', '11', '2019', '1', '6', '4', '0.0'
'2019', '1', '6', '12', '2019', '1', '6', '5', '0.0'
'2019', '1', '6', '13', '2019', '1', '6', '6', '0.0'
'2019', '1', '6', '14', '2019', '1', '6', '7', '0.0'
'2019', '1', '6', '15', '2019', '1', '6', '8', '0.288450219'
'2019', '1', '6', '16', '2019', '1', '6', '9', '10.396177871'
'2019', '1', '6', '17', '2019', '1', '6', '10', '40.869570391'
'2019', '1', '6', '18', '2019', '1', '6', '11', '44.465339875000005'
'2019', '1', '6', '19', '2019', '1', '6', '12', '40.287548063'
'2019', '1', '6', '20', '2019', '1', '6', '13', '41.061317173'
'2019', '1', '6', '21', '2019', '1', '6', '14', '60.221931327'
'2019', '1', '6', '22', '2019', '1', '6', '15', '24.216619511999998'
'2019', '1', '6', '23', '2019', '1', '6', '16', '1.160479407'
'2019', '1', '7', '0', '2019', '1', '6', '17', '0.0'
'2019', '1', '7', '1', '2019', '1', '6', '18', '0.0'
'2019', '1', '7', '2', '2019', '1', '6', '19', '0.0'
'2019', '1', '7', '3', '2019', '1', '6', '20', '0.0'
'2019', '1', '7', '4', '2019', '1', '6', '21', '0.0'
'2019', '1', '7', '5', '2019', '1', '6', '22', '0.0'
'2019', '1', '7', '6', '2019', '1', '6', '23', '0.0'
'2019', '1', '7', '7', '2019', '1', '7', '0', '0.0'
'2019', '1', '7', '8', '2019', '1', '7', '1', '0.0'
'2019', '1', '7', '9', '2019', '1', '7', '2', '0.0'
'2019', '1', '7', '10', '2019', '1', '7', '3', '0.0'
'2019', '1', '7', '11', '2019', '1', '7', '4', '0.0'
'2019', '1', '7', '12', '2019', '1', '7', '5', '0.0'
'2019', '1', '7', '13', '2019', '1', '7', '6', '0.0'
'2019', '1', '7', '14', '2019', '1', '7', '7', '0.0'
'2019', '1', '7', '15', '2019', '1', '7', '8', '0.645985456'
'2019', '1', '7', '16', '2019', '1', '7', '9', '19.818071739'
'2019', '1', '7', '17', '2019', '1', '7', '10', '29.958100883999997'
'2019', '1', '7', '18', '2019', '1', '7', '11', '34.022134087'
'2019', '1', '7', '19', '2019', '1', '7', '12', '32.351931282'
'2019', '1', '7', '20', '2019', '1', '7', '13', '23.940872946000002'
'2019', '1', '7', '21', '2019', '1', '7', '14', '20.902763484999998'
'2019', '1', '7', '22', '2019', '1', '7', '15', '12.890256328000001'
'2019', '1', '7', '23', '2019', '1', '7', '16', '0.5775881039999999'
'2019', '1', '8', '0', '2019', '1', '7', '17', '0.0'
'2019', '1', '8', '1', '2019', '1', '7', '18', '0.0'
'2019', '1', '8', '2', '2019', '1', '7', '19', '0.0'
'2019', '1', '8', '3', '2019', '1', '7', '20', '0.0'
'2019', '1', '8', '4', '2019', '1', '7', '21', '0.0'
'2019', '1', '8', '5', '2019', '1', '7', '22', '0.0'
'2019', '1', '8', '6', '2019', '1', '7', '23', '0.0'
'2019', '1', '8', '7', '2019', '1', '8', '0', '0.0'
'2019', '1', '8', '8', '2019', '1', '8', '1', '0.0'
'2019', '1', '8', '9', '2019', '1', '8', '2', '0.0'
'2019', '1', '8', '10', '2019', '1', '8', '3', '0.0'
'2019', '1', '8', '11', '2019', '1', '8', '4', '0.0'
'2019', '1', '8', '12', '2019', '1', '8', '5', '0.0'
'2019', '1', '8', '13', '2019', '1', '8', '6', '0.0'
'2019', '1', '8', '14', '2019', '1', '8', '7', '0.0'
'2019', '1', '8', '15', '2019', '1', '8', '8', '0.241778853'
'2019', '1', '8', '16', '2019', '1', '8', '9', '23.986175902'
'2019', '1', '8', '17', '2019', '1', '8', '10', '66.387461113'
'2019', '1', '8', '18', '2019', '1', '8', '11', '50.710552149'
'2019', '1', '8', '19', '2019', '1', '8', '12', '45.564817'
'2019', '1', '8', '20', '2019', '1', '8', '13', '53.239029812999995'
'2019', '1', '8', '21', '2019', '1', '8', '14', '57.932899744'
'2019', '1', '8', '22', '2019', '1', '8', '15', '39.894349978'
'2019', '1', '8', '23', '2019', '1', '8', '16', '2.986540516'
'2019', '1', '9', '0', '2019', '1', '8', '17', '0.0'
'2019', '1', '9', '1', '2019', '1', '8', '18', '0.0'
'2019', '1', '9', '2', '2019', '1', '8', '19', '0.0'
'2019', '1', '9', '3', '2019', '1', '8', '20', '0.0'
'2019', '1', '9', '4', '2019', '1', '8', '21', '0.0'
'2019', '1', '9', '5', '2019', '1', '8', '22', '0.0'
'2019', '1', '9', '6', '2019', '1', '8', '23', '0.0'
'2019', '1', '9', '7', '2019', '1', '9', '0', '0.0'
'2019', '1', '9', '8', '2019', '1', '9', '1', '0.0'
'2019', '1', '9', '9', '2019', '1', '9', '2', '0.0'
