ASSET_SHORT_NAME,ASSET_NAME,FUEL_TYPE,SUB_FUEL_TYPE,MAXIMUM_CAPABILITY
PR1,Primrose #1 (PR1),GAS,COGENERATION,100.000
PW01,BuckLake (PW01),GAS,COGENERATION,5.000
RB5,Rainbow #5 (RB5),GAS,SIMPLE_CYCLE,50.000
RIV1,Riverview (RIV1)*,WIND,,105.000
RL1,Rainbow Lake #1 (RL1),GAS,COGENERATION,47.000
RYMD,Raymond Reservoir (RYMD),HYDRO,,21.000
SCL1,Syncrude #1 (SCL1)*,GAS,COGENERATION,510.000
SCR1,Base Plant (SCR1),GAS,COGENERATION,50.000
SCR2,Suncor Magrath (SCR2)*,WIND,,30.000
SCR3,Suncor Chin Chute (SCR3)*,WIND,,30.000
SCR4,Wintering Hills (SCR4)*,WIND,,88.000
SCR5,Poplar Creek (SCR5),GAS,COGENERATION,376.000
SCR6,Firebag (SCR6),GAS,COGENERATION,497.000
SD3,Sundance #3 (SD3),COAL,,368.000
SD4,Sundance #4 (SD4),COAL,,406.000
SD5,Sundance #5 (SD5),COAL,,406.000
SD6,Sundance #6 (SD6),COAL,,401.000
SDH1,Saddle Hills (SDH1),GAS,COGENERATION,10.000
SH1,Sheerness #1 (SH1),COAL,,400.000
SH2,Sheerness #2 (SH2),COAL,,390.000
SHCG,Shell Caroline (SHCG)*,GAS,COGENERATION,19.000
SLP1,Slave Lake (SLP1)*,OTHER,,9.000
TAB1,Enmax Taber (TAB1)*,WIND,,81.000
TAY1,Taylor Hydro (TAY1),HYDRO,,14.000
TC01,Carseland Cogen (TC01),GAS,COGENERATION,95.000
TC02,Redwater Cogen (TC02),GAS,COGENERATION,92.000
TLM2,Edson (TLM2),GAS,COGENERATION,13.000
UOA1,University of Alberta (UOA1)*,GAS,COGENERATION,39.000
UOC1,U of C Generator (UOC1)*,GAS,COGENERATION,12.000
VVW1,Valley View 1 (VVW1),GAS,SIMPLE_CYCLE,50.000
VVW2,Valley View 2 (VVW2),GAS,SIMPLE_CYCLE,50.000
WCD1,West Cadotte (WCD1),GAS,SIMPLE_CYCLE,20.000
WEY1,Weyerhaeuser (WEY1),OTHER,,48.000
WHT1,Whitla (WHT1)*,WIND,,202.000
WST1,Westlock (WST1)*,OTHER,,18.000
WWD1,Weldwood #1 (WWD1)*,OTHER,,50.000
