UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '4', '0.0'
'2019', '1', '5', '12', '2019', '1', '5', '5', '0.0'
'2019', '1', '5', '13', '2019', '1', '5', '6', '0.0'
'2019', '1', '5', '14', '2019', '1', '5', '7', '0.0'
'2019', '1', '5', '15', '2019', '1', '5', '8', '0.0'
'2019', '1', '5', '16', '2019', '1', '5', '9', '27.453359'
'2019', '1', '5', '17', '2019', '1', '5', '10', '200.186328'
'2019', '1', '5', '18', '2019', '1', '5', '11', '450.97377399999993'
'2019', '1', '5', '19', '2019', '1', '5', '12', '308.359164'
'2019', '1', '5', '20', '2019', '1', '5', '13', '268.779891'
'2019', '1', '5', '21', '2019', '1', '5', '14', '371.78366800000003'
'2019', '1', '5', '22', '2019', '1', '5', '15', '384.840004'
'2019', '1', '5', '23', '2019', '1', '5', '16', '101.49892'
'2019', '1', '6', '0', '2019', '1', '5', '17', '0.0'
'2019', '1', '6', '1', '2019', '1', '5', '18', '0.0'
'2019', '1', '6', '2', '2019', '1', '5', '19', '0.0'
'2019', '1', '6', '3', '2019', '1', '5', '20', '0.0'
'2019', '1', '6', '4', '2019', '1', '5', '21', '0.0'
'2019', '1', '6', '5', '2019', '1', '5', '22', '0.0'
'2019', '1', '6', '6', '2019', '1', '5', '23', '0.0'
'2019', '1', '6', '7', '2019', '1', '6', '0', '0.0'
'2019', '1', '6', '8', '2019', '1', '6', '1', '0.0'
'2019', '1', '6', '9', '2019', '1', '6', '2', '0.0'
'2019', '1', '6', '10', '2019', '1', '6', '3', '0.0'
'2019', '1', '6', '11', '2019', '1', '6', '4', '0.0'
'2019', '1', '6', '12', '2019', '1', '6', '5', '0.0'
'2019', '1', '6', '13', '2019', '1', '6', '6', '0.0'
'2019', '1', '6', '14', '2019', '1', '6', '7', '0.0'
'2019', '1', '6', '15', '2019', '1', '6', '8', '0.0'
'2019', '1', '6', '16', '2019', '1', '6', '9', '112.64468799999999'
'2019', '1', '6', '17', '2019', '1', '6', '10', '175.099407'
'2019', '1', '6', '18', '2019', '1', '6', '11', '306.743004'
'2019', '1', '6', '19', '2019', '1', '6', '12', '341.301281'
'2019', '1', '6', '20', '2019', '1', '6', '13', '240.54503900000003'
'2019', '1', '6', '21', '2019', '1', '6', '14', '195.549508'
'2019', '1', '6', '22', '2019', '1', '6', '15', '39.992160999999996'
'2019', '1', '6', '23', '2019', '1', '6', '16', '5.349036'
'2019', '1', '7', '0', '2019', '1', '6', '17', '0.0'
'2019', '1', '7', '1', '2019', '1', '6', '18', '0.0'
'2019', '1', '7', '2', '2019', '1', '6', '19', '0.0'
'2019', '1', '7', '3', '2019', '1', '6', '20', '0.0'
'2019', '1', '7', '4', '2019', '1', '6', '21', '0.0'
'2019', '1', '7', '5', '2019', '1', '6', '22', '0.0'
'2019', '1', '7', '6', '2019', '1', '6', '23', '0.0'
'2019', '1', '7', '7', '2019', '1', '7', '0', '0.0'
