UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '16', '1', '2019', '1', '15', '18', '0.0'
'2019', '1', '16', '2', '2019', '1', '15', '19', '0.0'
'2019', '1', '16', '3', '2019', '1', '15', '20', '0.0'
'2019', '1', '16', '4', '2019', '1', '15', '21', '0.0'
'2019', '1', '16', '5', '2019', '1', '15', '22', '0.0'
'2019', '1', '16', '6', '2019', '1', '15', '23', '0.0'
'2019', '1', '16', '7', '2019', '1', '16', '0', '0.0'
'2019', '1', '16', '8', '2019', '1', '16', '1', '0.0'
'2019', '1', '16', '9', '2019', '1', '16', '2', '0.0'
'2019', '1', '16', '10', '2019', '1', '16', '3', '0.0'
'2019', '1', '16', '11', '2019', '1', '16', '4', '0.0'
'2019', '1', '16', '12', '2019', '1', '16', '5', '0.0'
'2019', '1', '16', '13', '2019', '1', '16', '6', '0.0'
'2019', '1', '16', '14', '2019', '1', '16', '7', '0.0'
'2019', '1', '16', '15', '2019', '1', '16', '8', '0.0'
'2019', '1', '16', '16', '2019', '1', '16', '9', '0.082616547'
'2019', '1', '16', '17', '2019', '1', '16', '10', '0.457645328'
'2019', '1', '16', '18', '2019', '1', '16', '11', '0.34643288699999997'
'2019', '1', '16', '19', '2019', '1', '16', '12', '0.261313055'
'2019', '1', '16', '20', '2019', '1', '16', '13', '0.30258687500000003'
'2019', '1', '16', '21', '2019', '1', '16', '14', '0.458592813'
'2019', '1', '16', '22', '2019', '1', '16', '15', '0.418230469'
'2019', '1', '16', '23', '2019', '1', '16', '16', '0.086771641'
'2019', '1', '17', '0', '2019', '1', '16', '17', '0.0'
'2019', '1', '17', '1', '2019', '1', '16', '18', '0.0'
'2019', '1', '17', '2', '2019', '1', '16', '19', '0.0'
'2019', '1', '17', '3', '2019', '1', '16', '20', '0.0'
'2019', '1', '17', '4', '2019', '1', '16', '21', '0.0'
'2019', '1', '17', '5', '2019', '1', '16', '22', '0.0'
'2019', '1', '17', '6', '2019', '1', '16', '23', '0.0'
'2019', '1', '17', '7', '2019', '1', '17', '0', '0.0'
'2019', '1', '17', '8', '2019', '1', '17', '1', '0.0'
'2019', '1', '17', '9', '2019', '1', '17', '2', '0.0'
'2019', '1', '17', '10', '2019', '1', '17', '3', '0.0'
'2019', '1', '17', '11', '2019', '1', '17', '4', '0.0'
'2019', '1', '17', '12', '2019', '1', '17', '5', '0.0'
'2019', '1', '17', '13', '2019', '1', '17', '6', '0.0'
'2019', '1', '17', '14', '2019', '1', '17', '7', '0.0'
'2019', '1', '17', '15', '2019', '1', '17', '8', '0.0'
'2019', '1', '17', '16', '2019', '1', '17', '9', '0.115574016'
'2019', '1', '17', '17', '2019', '1', '17', '10', '0.366436594'
'2019', '1', '17', '18', '2019', '1', '17', '11', '0.12056547100000001'
'2019', '1', '17', '19', '2019', '1', '17', '12', '0.286123578'
'2019', '1', '17', '20', '2019', '1', '17', '13', '0.255710929'
'2019', '1', '17', '21', '2019', '1', '17', '14', '0.174834758'
'2019', '1', '17', '22', '2019', '1', '17', '15', '0.12930523800000002'
'2019', '1', '17', '23', '2019', '1', '17', '16', '0.056767872000000004'
'2019', '1', '18', '0', '2019', '1', '17', '17', '0.0'
'2019', '1', '18', '1', '2019', '1', '17', '18', '0.0'
'2019', '1', '18', '2', '2019', '1', '17', '19', '0.0'
'2019', '1', '18', '3', '2019', '1', '17', '20', '0.0'
'2019', '1', '18', '4', '2019', '1', '17', '21', '0.0'
'2019', '1', '18', '5', '2019', '1', '17', '22', '0.0'
'2019', '1', '18', '6', '2019', '1', '17', '23', '0.0'
'2019', '1', '18', '7', '2019', '1', '18', '0', '0.0'
'2019', '1', '18', '8', '2019', '1', '18', '1', '0.0'
'2019', '1', '18', '9', '2019', '1', '18', '2', '0.0'
'2019', '1', '18', '10', '2019', '1', '18', '3', '0.0'
'2019', '1', '18', '11', '2019', '1', '18', '4', '0.0'
'2019', '1', '18', '12', '2019', '1', '18', '5', '0.0'
'2019', '1', '18', '13', '2019', '1', '18', '6', '0.0'
'2019', '1', '18', '14', '2019', '1', '18', '7', '0.0'
'2019', '1', '18', '15', '2019', '1', '18', '8', '0.0'
'2019', '1', '18', '16', '2019', '1', '18', '9', '0.16994641600000002'
'2019', '1', '18', '17', '2019', '1', '18', '10', '0.132896652'
'2019', '1', '18', '18', '2019', '1', '18', '11', '0.308646313'
'2019', '1', '18', '19', '2019', '1', '18', '12', '0.290832242'
'2019', '1', '18', '20', '2019', '1', '18', '13', '0.251035265'
'2019', '1', '18', '21', '2019', '1', '18', '14', '0.447227641'
'2019', '1', '18', '22', '2019', '1', '18', '15', '0.224116647'
'2019', '1', '18', '23', '2019', '1', '18', '16', '0.04882087'
'2019', '1', '19', '0', '2019', '1', '18', '17', '0.0'
'2019', '1', '19', '1', '2019', '1', '18', '18', '0.0'
'2019', '1', '19', '2', '2019', '1', '18', '19', '0.0'
'2019', '1', '19', '3', '2019', '1', '18', '20', '0.0'
'2019', '1', '19', '4', '2019', '1', '18', '21', '0.0'
'2019', '1', '19', '5', '2019', '1', '18', '22', '0.0'
'2019', '1', '19', '6', '2019', '1', '18', '23', '0.0'
'2019', '1', '19', '7', '2019', '1', '19', '0', '0.0'
'2019', '1', '19', '8', '2019', '1', '19', '1', '0.0'
'2019', '1', '19', '9', '2019', '1', '19', '2', '0.0'
'2019', '1', '19', '10', '2019', '1', '19', '3', '0.0'
'2019', '1', '19', '11', '2019', '1', '19', '4', '0.0'
'2019', '1', '19', '12', '2019', '1', '19', '5', '0.0'
'2019', '1', '19', '13', '2019', '1', '19', '6', '0.0'
'2019', '1', '19', '14', '2019', '1', '19', '7', '0.0'
'2019', '1', '19', '15', '2019', '1', '19', '8', '0.0'
'2019', '1', '19', '16', '2019', '1', '19', '9', '0.098744943'
'2019', '1', '19', '17', '2019', '1', '19', '10', '0.162771406'
'2019', '1', '19', '18', '2019', '1', '19', '11', '0.47530734399999996'
'2019', '1', '19', '19', '2019', '1', '19', '12', '0.53780311'
'2019', '1', '19', '20', '2019', '1', '19', '13', '0.425492016'
'2019', '1', '19', '21', '2019', '1', '19', '14', '0.402547938'
'2019', '1', '19', '22', '2019', '1', '19', '15', '0.41638178100000006'
'2019', '1', '19', '23', '2019', '1', '19', '16', '0.289712953'
'2019', '1', '20', '0', '2019', '1', '19', '17', '0.0'
'2019', '1', '20', '1', '2019', '1', '19', '18', '0.0'
'2019', '1', '20', '2', '2019', '1', '19', '19', '0.0'
'2019', '1', '20', '3', '2019', '1', '19', '20', '0.0'
