UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '4', '18', '2019', '1', '4', '11', '0.052431324'
'2019', '1', '4', '19', '2019', '1', '4', '12', '0.046142055'
'2019', '1', '4', '20', '2019', '1', '4', '13', '0.064184273'
'2019', '1', '4', '21', '2019', '1', '4', '14', '0.032166006000000004'
'2019', '1', '4', '22', '2019', '1', '4', '15', '0.0658265'
'2019', '1', '4', '23', '2019', '1', '4', '16', '0.008365359000000001'
'2019', '1', '5', '0', '2019', '1', '4', '17', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '5', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '6', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '4', '0.0'
'2019', '1', '5', '12', '2019', '1', '5', '5', '0.0'
'2019', '1', '5', '13', '2019', '1', '5', '6', '0.0'
'2019', '1', '5', '14', '2019', '1', '5', '7', '0.0'
'2019', '1', '5', '15', '2019', '1', '5', '8', '0.0'
'2019', '1', '5', '16', '2019', '1', '5', '9', '0.027453359'
'2019', '1', '5', '17', '2019', '1', '5', '10', '0.123622133'
'2019', '1', '5', '18', '2019', '1', '5', '11', '0.09635830499999999'
'2019', '1', '5', '19', '2019', '1', '5', '12', '0.044111539'
'2019', '1', '5', '20', '2019', '1', '5', '13', '0.052213641000000005'
'2019', '1', '5', '21', '2019', '1', '5', '14', '0.06342460500000001'
'2019', '1', '5', '22', '2019', '1', '5', '15', '0.057386254'
'2019', '1', '5', '23', '2019', '1', '5', '16', '0.009315139'
'2019', '1', '6', '0', '2019', '1', '5', '17', '0.0'
'2019', '1', '6', '1', '2019', '1', '5', '18', '0.0'
'2019', '1', '6', '2', '2019', '1', '5', '19', '0.0'
'2019', '1', '6', '3', '2019', '1', '5', '20', '0.0'
'2019', '1', '6', '4', '2019', '1', '5', '21', '0.0'
'2019', '1', '6', '5', '2019', '1', '5', '22', '0.0'
'2019', '1', '6', '6', '2019', '1', '5', '23', '0.0'
'2019', '1', '6', '7', '2019', '1', '6', '0', '0.0'
'2019', '1', '6', '8', '2019', '1', '6', '1', '0.0'
'2019', '1', '6', '9', '2019', '1', '6', '2', '0.0'
'2019', '1', '6', '10', '2019', '1', '6', '3', '0.0'
'2019', '1', '6', '11', '2019', '1', '6', '4', '0.0'
'2019', '1', '6', '12', '2019', '1', '6', '5', '0.0'
'2019', '1', '6', '13', '2019', '1', '6', '6', '0.0'
'2019', '1', '6', '14', '2019', '1', '6', '7', '0.0'
'2019', '1', '6', '15', '2019', '1', '6', '8', '0.0'
'2019', '1', '6', '16', '2019', '1', '6', '9', '0.11264468799999999'
'2019', '1', '6', '17', '2019', '1', '6', '10', '0.142620516'
'2019', '1', '6', '18', '2019', '1', '6', '11', '0.279323969'
'2019', '1', '6', '19', '2019', '1', '6', '12', '0.212175031'
'2019', '1', '6', '20', '2019', '1', '6', '13', '0.146868094'
'2019', '1', '6', '21', '2019', '1', '6', '14', '0.15805825'
'2019', '1', '6', '22', '2019', '1', '6', '15', '0.035106125'
'2019', '1', '6', '23', '2019', '1', '6', '16', '0.005349036'
'2019', '1', '7', '0', '2019', '1', '6', '17', '0.0'
'2019', '1', '7', '1', '2019', '1', '6', '18', '0.0'
'2019', '1', '7', '2', '2019', '1', '6', '19', '0.0'
'2019', '1', '7', '3', '2019', '1', '6', '20', '0.0'
'2019', '1', '7', '4', '2019', '1', '6', '21', '0.0'
'2019', '1', '7', '5', '2019', '1', '6', '22', '0.0'
'2019', '1', '7', '6', '2019', '1', '6', '23', '0.0'
'2019', '1', '7', '7', '2019', '1', '7', '0', '0.0'
'2019', '1', '7', '8', '2019', '1', '7', '1', '0.0'
'2019', '1', '7', '9', '2019', '1', '7', '2', '0.0'
'2019', '1', '7', '10', '2019', '1', '7', '3', '0.0'
'2019', '1', '7', '11', '2019', '1', '7', '4', '0.0'
'2019', '1', '7', '12', '2019', '1', '7', '5', '0.0'
'2019', '1', '7', '13', '2019', '1', '7', '6', '0.0'
'2019', '1', '7', '14', '2019', '1', '7', '7', '0.0'
'2019', '1', '7', '15', '2019', '1', '7', '8', '0.0'
'2019', '1', '7', '16', '2019', '1', '7', '9', '0.023236293'
'2019', '1', '7', '17', '2019', '1', '7', '10', '0.176394344'
'2019', '1', '7', '18', '2019', '1', '7', '11', '0.049267218999999994'
'2019', '1', '7', '19', '2019', '1', '7', '12', '0.092605383'
'2019', '1', '7', '20', '2019', '1', '7', '13', '0.091321258'
'2019', '1', '7', '21', '2019', '1', '7', '14', '0.157349766'
'2019', '1', '7', '22', '2019', '1', '7', '15', '0.039199734'
'2019', '1', '7', '23', '2019', '1', '7', '16', '0.0062534059999999995'
'2019', '1', '8', '0', '2019', '1', '7', '17', '0.0'
'2019', '1', '8', '1', '2019', '1', '7', '18', '0.0'
'2019', '1', '8', '2', '2019', '1', '7', '19', '0.0'
'2019', '1', '8', '3', '2019', '1', '7', '20', '0.0'
'2019', '1', '8', '4', '2019', '1', '7', '21', '0.0'
'2019', '1', '8', '5', '2019', '1', '7', '22', '0.0'
'2019', '1', '8', '6', '2019', '1', '7', '23', '0.0'
'2019', '1', '8', '7', '2019', '1', '8', '0', '0.0'
'2019', '1', '8', '8', '2019', '1', '8', '1', '0.0'
'2019', '1', '8', '9', '2019', '1', '8', '2', '0.0'
'2019', '1', '8', '10', '2019', '1', '8', '3', '0.0'
'2019', '1', '8', '11', '2019', '1', '8', '4', '0.0'
'2019', '1', '8', '12', '2019', '1', '8', '5', '0.0'
'2019', '1', '8', '13', '2019', '1', '8', '6', '0.0'
'2019', '1', '8', '14', '2019', '1', '8', '7', '0.0'
'2019', '1', '8', '15', '2019', '1', '8', '8', '0.0'
'2019', '1', '8', '16', '2019', '1', '8', '9', '0.0'
'2019', '1', '8', '17', '2019', '1', '8', '10', '0.038170883'
'2019', '1', '8', '18', '2019', '1', '8', '11', '0.120119258'
'2019', '1', '8', '19', '2019', '1', '8', '12', '0.045349417999999996'
'2019', '1', '8', '20', '2019', '1', '8', '13', '0.017979451'
'2019', '1', '8', '21', '2019', '1', '8', '14', '0.112602'
'2019', '1', '8', '22', '2019', '1', '8', '15', '0.19528757800000002'
'2019', '1', '8', '23', '2019', '1', '8', '16', '0.034005066'
'2019', '1', '9', '0', '2019', '1', '8', '17', '0.0'
'2019', '1', '9', '1', '2019', '1', '8', '18', '0.0'
'2019', '1', '9', '2', '2019', '1', '8', '19', '0.0'
'2019', '1', '9', '3', '2019', '1', '8', '20', '0.0'
'2019', '1', '9', '4', '2019', '1', '8', '21', '0.0'
'2019', '1', '9', '5', '2019', '1', '8', '22', '0.0'
'2019', '1', '9', '6', '2019', '1', '8', '23', '0.0'
'2019', '1', '9', '7', '2019', '1', '9', '0', '0.0'
'2019', '1', '9', '8', '2019', '1', '9', '1', '0.0'
'2019', '1', '9', '9', '2019', '1', '9', '2', '0.0'
'2019', '1', '9', '10', '2019', '1', '9', '3', '0.0'
'2019', '1', '9', '11', '2019', '1', '9', '4', '0.0'
'2019', '1', '9', '12', '2019', '1', '9', '5', '0.0'
'2019', '1', '9', '13', '2019', '1', '9', '6', '0.0'
'2019', '1', '9', '14', '2019', '1', '9', '7', '0.0'
'2019', '1', '9', '15', '2019', '1', '9', '8', '0.0'
'2019', '1', '9', '16', '2019', '1', '9', '9', '0.12857939100000002'
'2019', '1', '9', '17', '2019', '1', '9', '10', '0.40288275'
'2019', '1', '9', '18', '2019', '1', '9', '11', '0.3699305'
'2019', '1', '9', '19', '2019', '1', '9', '12', '0.27665684399999996'
'2019', '1', '9', '20', '2019', '1', '9', '13', '0.299184031'
'2019', '1', '9', '21', '2019', '1', '9', '14', '0.39438356300000005'
'2019', '1', '9', '22', '2019', '1', '9', '15', '0.154125016'
'2019', '1', '9', '23', '2019', '1', '9', '16', '0.031380771'
'2019', '1', '10', '0', '2019', '1', '9', '17', '0.0'
'2019', '1', '10', '1', '2019', '1', '9', '18', '0.0'
'2019', '1', '10', '2', '2019', '1', '9', '19', '0.0'
