UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '4', '15', '2019', '1', '4', '10', '118.290112375'
'2019', '1', '4', '16', '2019', '1', '4', '11', '133.301102063'
'2019', '1', '4', '17', '2019', '1', '4', '12', '117.126445657'
'2019', '1', '4', '18', '2019', '1', '4', '13', '102.02025784399997'
'2019', '1', '4', '19', '2019', '1', '4', '14', '77.25805586999998'
'2019', '1', '4', '20', '2019', '1', '4', '15', '62.712999765999996'
'2019', '1', '4', '21', '2019', '1', '4', '16', '8.801268395'
'2019', '1', '4', '22', '2019', '1', '4', '17', '1.298388376'
'2019', '1', '4', '23', '2019', '1', '4', '18', '0.0'
'2019', '1', '5', '0', '2019', '1', '4', '19', '0.0'
'2019', '1', '5', '1', '2019', '1', '4', '20', '0.0'
'2019', '1', '5', '2', '2019', '1', '4', '21', '0.0'
'2019', '1', '5', '3', '2019', '1', '4', '22', '0.0'
'2019', '1', '5', '4', '2019', '1', '4', '23', '0.0'
'2019', '1', '5', '5', '2019', '1', '5', '0', '0.0'
'2019', '1', '5', '6', '2019', '1', '5', '1', '0.0'
'2019', '1', '5', '7', '2019', '1', '5', '2', '0.0'
'2019', '1', '5', '8', '2019', '1', '5', '3', '0.0'
'2019', '1', '5', '9', '2019', '1', '5', '4', '0.0'
'2019', '1', '5', '10', '2019', '1', '5', '5', '0.0'
'2019', '1', '5', '11', '2019', '1', '5', '6', '0.0'
'2019', '1', '5', '12', '2019', '1', '5', '7', '0.0'
'2019', '1', '5', '13', '2019', '1', '5', '8', '35.474103611000004'
'2019', '1', '5', '14', '2019', '1', '5', '9', '142.195064242'
'2019', '1', '5', '15', '2019', '1', '5', '10', '167.51923599999998'
'2019', '1', '5', '16', '2019', '1', '5', '11', '159.11608337799998'
'2019', '1', '5', '17', '2019', '1', '5', '12', '138.13587062800008'
'2019', '1', '5', '18', '2019', '1', '5', '13', '152.68701452999997'
'2019', '1', '5', '19', '2019', '1', '5', '14', '143.397843718'
'2019', '1', '5', '20', '2019', '1', '5', '15', '140.78434640700002'
'2019', '1', '5', '21', '2019', '1', '5', '16', '33.790971203'
'2019', '1', '5', '22', '2019', '1', '5', '17', '7.1277465'
'2019', '1', '5', '23', '2019', '1', '5', '18', '0.5130803119999999'
'2019', '1', '6', '0', '2019', '1', '5', '19', '0.0'
'2019', '1', '6', '1', '2019', '1', '5', '20', '0.0'
'2019', '1', '6', '2', '2019', '1', '5', '21', '0.0'
'2019', '1', '6', '3', '2019', '1', '5', '22', '0.0'
'2019', '1', '6', '4', '2019', '1', '5', '23', '0.0'
'2019', '1', '6', '5', '2019', '1', '6', '0', '0.0'
'2019', '1', '6', '6', '2019', '1', '6', '1', '0.0'
'2019', '1', '6', '7', '2019', '1', '6', '2', '0.0'
'2019', '1', '6', '8', '2019', '1', '6', '3', '0.0'
'2019', '1', '6', '9', '2019', '1', '6', '4', '0.0'
'2019', '1', '6', '10', '2019', '1', '6', '5', '0.0'
'2019', '1', '6', '11', '2019', '1', '6', '6', '0.0'
'2019', '1', '6', '12', '2019', '1', '6', '7', '0.0'
'2019', '1', '6', '13', '2019', '1', '6', '8', '30.926871827000003'
'2019', '1', '6', '14', '2019', '1', '6', '9', '119.72194728199999'
'2019', '1', '6', '15', '2019', '1', '6', '10', '173.06845510199997'
'2019', '1', '6', '16', '2019', '1', '6', '11', '146.92246572100007'
'2019', '1', '6', '17', '2019', '1', '6', '12', '146.23618858000003'
