UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2020', '1', '4', '19', '2020', '1', '4', '15', '0.010773594344129833'
'2020', '1', '4', '20', '2020', '1', '4', '16', '0.0'
'2020', '1', '4', '21', '2020', '1', '4', '17', '0.0'
'2020', '1', '4', '22', '2020', '1', '4', '18', '0.0'
'2020', '1', '4', '23', '2020', '1', '4', '19', '0.44825742286358644'
'2020', '1', '5', '0', '2020', '1', '4', '20', '1.1287878227827548'
'2020', '1', '5', '1', '2020', '1', '4', '21', '0.39964810858361943'
'2020', '1', '5', '2', '2020', '1', '4', '22', '0.0'
'2020', '1', '5', '3', '2020', '1', '4', '23', '0.0'
'2020', '1', '5', '4', '2020', '1', '5', '0', '0.0'
'2020', '1', '5', '5', '2020', '1', '5', '1', '0.4968667371434776'
'2020', '1', '5', '6', '2020', '1', '5', '2', '2.149583422661493'
'2020', '1', '5', '7', '2020', '1', '5', '3', '6.242487685032521'
'2020', '1', '5', '8', '2020', '1', '5', '4', '18.513561865615923'
'2020', '1', '5', '9', '2020', '1', '5', '5', '30.14854844790753'
'2020', '1', '5', '10', '2020', '1', '5', '6', '34.194097829915506'
'2020', '1', '5', '11', '2020', '1', '5', '7', '71.69528504088241'
'2020', '1', '5', '12', '2020', '1', '5', '8', '126.5493967793151'
'2020', '1', '5', '13', '2020', '1', '5', '9', '164.99773044821805'
'2020', '1', '5', '14', '2020', '1', '5', '10', '180.89089296143246'
'2020', '1', '5', '15', '2020', '1', '5', '11', '188.24687104953833'
'2020', '1', '5', '16', '2020', '1', '5', '12', '190.60789488599258'
'2020', '1', '5', '17', '2020', '1', '5', '13', '186.62193111503746'
'2020', '1', '5', '18', '2020', '1', '5', '14', '187.6427267149162'
'2020', '1', '5', '19', '2020', '1', '5', '15', '185.89279140083835'
'2020', '1', '5', '20', '2020', '1', '5', '16', '181.29921120138388'
'2020', '1', '5', '21', '2020', '1', '5', '17', '174.1293373450926'
'2020', '1', '5', '22', '2020', '1', '5', '18', '180.05967368724546'
'2020', '1', '5', '23', '2020', '1', '5', '19', '178.18474299359056'
'2020', '1', '6', '0', '2020', '1', '5', '20', '172.184964773895'
'2020', '1', '6', '1', '2020', '1', '5', '21', '168.10178237437992'
'2020', '1', '6', '2', '2020', '1', '5', '22', '176.15148481913815'
'2020', '1', '6', '3', '2020', '1', '5', '23', '175.51470280207096'
'2020', '1', '6', '4', '2020', '1', '6', '0', '157.01885871855342'
'2020', '1', '6', '5', '2020', '1', '6', '1', '144.62348357716843'
'2020', '1', '6', '6', '2020', '1', '6', '2', '126.83247455071006'
'2020', '1', '6', '7', '2020', '1', '6', '3', '109.91643318129059'
'2020', '1', '6', '8', '2020', '1', '6', '4', '100.43761689670214'
'2020', '1', '6', '9', '2020', '1', '6', '5', '103.08074836067395'
'2020', '1', '6', '10', '2020', '1', '6', '6', '69.95957684317915'
'2020', '1', '6', '11', '2020', '1', '6', '7', '59.51246301813425'
'2020', '1', '6', '12', '2020', '1', '6', '8', '32.33596759050482'
'2020', '1', '6', '13', '2020', '1', '6', '9', '25.48205427703317'
'2020', '1', '6', '14', '2020', '1', '6', '10', '27.231989591111073'
'2020', '1', '6', '15', '2020', '1', '6', '11', '17.899001249362357'
'2020', '1', '6', '16', '2020', '1', '6', '12', '10.60760410737123'
'2020', '1', '6', '17', '2020', '1', '6', '13', '7.107733479215483'
'2020', '1', '6', '18', '2020', '1', '6', '14', '4.191174622419055'
'2020', '1', '6', '19', '2020', '1', '6', '15', '1.712099594142046'
'2020', '1', '6', '20', '2020', '1', '6', '16', '0.0'
'2020', '1', '6', '21', '2020', '1', '6', '17', '0.5940853657033927'
'2020', '1', '6', '22', '2020', '1', '6', '18', '1.1079552595199158'
'2020', '1', '6', '23', '2020', '1', '6', '19', '2.943535555900559'
'2020', '1', '7', '0', '2020', '1', '6', '20', '5.591122873681343'
'2020', '1', '7', '1', '2020', '1', '6', '21', '5.47446051940949'
'2020', '1', '7', '2', '2020', '1', '6', '22', '6.8160775935358515'
'2020', '1', '7', '3', '2020', '1', '6', '23', '8.42018496477389'
'2020', '1', '7', '4', '2020', '1', '7', '0', '14.544958564046453'
'2020', '1', '7', '5', '2020', '1', '7', '1', '22.773821052865035'
'2020', '1', '7', '6', '2020', '1', '7', '2', '28.981924905188947'
'2020', '1', '7', '7', '2020', '1', '7', '3', '27.37781753395086'
'2020', '1', '7', '8', '2020', '1', '7', '4', '31.315171990626112'
'2020', '1', '7', '9', '2020', '1', '7', '5', '28.136122836717938'
'2020', '1', '7', '10', '2020', '1', '7', '6', '26.600068505471814'
'2020', '1', '7', '11', '2020', '1', '7', '7', '29.954111190787746'
'2020', '1', '7', '12', '2020', '1', '7', '8', '19.94059244911989'
'2020', '1', '7', '13', '2020', '1', '7', '9', '10.60760410737123'
'2020', '1', '7', '14', '2020', '1', '7', '10', '18.49620139623023'
'2020', '1', '7', '15', '2020', '1', '7', '11', '31.723490230577596'
'2020', '1', '7', '16', '2020', '1', '7', '12', '14.982442392565929'
'2020', '1', '7', '17', '2020', '1', '7', '13', '8.566012907613697'
'2020', '1', '7', '18', '2020', '1', '7', '14', '6.8160775935358515'
'2020', '1', '7', '19', '2020', '1', '7', '15', '20.523904220479185'
'2020', '1', '7', '20', '2020', '1', '7', '16', '22.565495420236743'
'2020', '1', '7', '21', '2020', '1', '7', '17', '31.427857219184137'
'2020', '1', '7', '22', '2020', '1', '7', '18', '24.31543073431459'
'2020', '1', '7', '23', '2020', '1', '7', '19', '27.23198959111104'
'2020', '1', '8', '0', '2020', '1', '7', '20', '6.378593765016376'
'2020', '1', '8', '1', '2020', '1', '7', '21', '0.0'
'2020', '1', '8', '2', '2020', '1', '7', '22', '0.0'
'2020', '1', '8', '3', '2020', '1', '7', '23', '0.0'
'2020', '1', '8', '4', '2020', '1', '8', '0', '0.0'
'2020', '1', '8', '5', '2020', '1', '8', '1', '4.40991653667875'
'2020', '1', '8', '6', '2020', '1', '8', '2', '15.489002615062157'
'2020', '1', '8', '7', '2020', '1', '8', '3', '31.898483761985403'
'2020', '1', '8', '8', '2020', '1', '8', '4', '48.71730650284494'
'2020', '1', '8', '9', '2020', '1', '8', '5', '58.43916935883315'
'2020', '1', '8', '10', '2020', '1', '8', '6', '57.85585758747385'
'2020', '1', '8', '11', '2020', '1', '8', '7', '63.37488434725792'
'2020', '1', '8', '12', '2020', '1', '8', '8', '48.81452513140482'
'2020', '1', '8', '13', '2020', '1', '8', '9', '42.10643976077299'
'2020', '1', '8', '14', '2020', '1', '8', '10', '51.7310839882013'
'2020', '1', '8', '15', '2020', '1', '8', '11', '69.4356764559398'
'2020', '1', '8', '16', '2020', '1', '8', '12', '97.53431512561838'
'2020', '1', '8', '17', '2020', '1', '8', '13', '114.54315609502682'
'2020', '1', '8', '18', '2020', '1', '8', '14', '127.87900449344293'
'2020', '1', '8', '19', '2020', '1', '8', '15', '144.92281461773442'
'2020', '1', '8', '20', '2020', '1', '8', '16', '150.01911746224192'
'2020', '1', '8', '21', '2020', '1', '8', '17', '144.81097664653393'
'2020', '1', '8', '22', '2020', '1', '8', '18', '158.47713814695163'
'2020', '1', '8', '23', '2020', '1', '8', '19', '175.20568644700558'
'2020', '1', '9', '0', '2020', '1', '8', '20', '173.20576037377373'
'2020', '1', '9', '1', '2020', '1', '8', '21', '171.91982305964078'
'2020', '1', '9', '2', '2020', '1', '8', '22', '171.5834245096807'
'2020', '1', '9', '3', '2020', '1', '8', '23', '179.2029345230615'
'2020', '1', '9', '4', '2020', '1', '9', '0', '181.66378105848347'
'2020', '1', '9', '5', '2020', '1', '9', '1', '184.20118726389634'
'2020', '1', '9', '6', '2020', '1', '9', '2', '180.6429854586047'
'2020', '1', '9', '7', '2020', '1', '9', '3', '173.05993243093394'
'2020', '1', '9', '8', '2020', '1', '9', '4', '177.5076846875485'
'2020', '1', '9', '9', '2020', '1', '9', '5', '177.72642660180827'
'2020', '1', '9', '10', '2020', '1', '9', '6', '180.2575830382423'
'2020', '1', '9', '11', '2020', '1', '9', '7', '186.96219631499707'
'2020', '1', '9', '12', '2020', '1', '9', '8', '182.97623254404186'
'2020', '1', '9', '13', '2020', '1', '9', '9', '183.89286532760647'
'2020', '1', '9', '14', '2020', '1', '9', '10', '181.8744214203632'
'2020', '1', '9', '15', '2020', '1', '9', '11', '183.6142297939661'
'2020', '1', '9', '16', '2020', '1', '9', '12', '182.68457665836223'
'2020', '1', '9', '17', '2020', '1', '9', '13', '180.93464134428433'
'2020', '1', '9', '18', '2020', '1', '9', '14', '183.00053720118186'
'2020', '1', '9', '19', '2020', '1', '9', '15', '179.88468015583763'
'2020', '1', '9', '20', '2020', '1', '9', '16', '176.4431407048178'
'2020', '1', '9', '21', '2020', '1', '9', '17', '174.8098677450118'
'2020', '1', '9', '22', '2020', '1', '9', '18', '175.6483784163408'
'2020', '1', '9', '23', '2020', '1', '9', '19', '175.10152363069142'
'2020', '1', '10', '0', '2020', '1', '9', '20', '167.6042517458676'
'2020', '1', '10', '1', '2020', '1', '9', '21', '126.10333483651095'
'2020', '1', '10', '2', '2020', '1', '9', '22', '80.31336078480655'
'2020', '1', '10', '3', '2020', '1', '9', '23', '55.23095461635705'
'2020', '1', '10', '4', '2020', '1', '10', '0', '42.98140741781191'
'2020', '1', '10', '5', '2020', '1', '10', '1', '26.06536604839249'
'2020', '1', '10', '6', '2020', '1', '10', '2', '11.628399707250026'
'2020', '1', '10', '7', '2020', '1', '10', '3', '9.40857435513269'
'2020', '1', '10', '8', '2020', '1', '10', '4', '14.083170078387008'
'2020', '1', '10', '9', '2020', '1', '10', '5', '19.940592449119908'
'2020', '1', '10', '10', '2020', '1', '10', '6', '31.606827876305733'
'2020', '1', '10', '11', '2020', '1', '10', '7', '55.59552447345661'
'2020', '1', '10', '12', '2020', '1', '10', '8', '89.4276072122955'
'2020', '1', '10', '13', '2020', '1', '10', '9', '132.74458240000789'
'2020', '1', '10', '14', '2020', '1', '10', '10', '168.5392662028994'
'2020', '1', '10', '15', '2020', '1', '10', '11', '171.0183412311764'
'2020', '1', '10', '16', '2020', '1', '10', '12', '165.47687940326313'
