HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2017-05-01 00:00,1289,1330,255,-30,-467,-50,120
2017-05-01 01:00,1225,1265,274,-32,-450,-1,108
2017-05-01 02:00,1211,1251,293,2,-450,0,104
2017-05-01 03:00,1208,1247,256,2,-450,0,100
2017-05-01 04:00,1222,1261,264,1,-450,0,102
2017-05-01 05:00,1261,1299,198,1,-450,0,104
2017-05-01 06:00,1324,1363,120,4,-450,0,107
2017-05-01 07:00,1494,1536,-87,9,-459,0,122
2017-05-01 08:00,1677,1724,-311,9,-461,0,135
2017-05-01 09:00,1688,1738,-308,-9,-477,0,146
2017-05-01 10:00,1674,1726,-277,-9,-450,0,146
2017-05-01 11:00,1664,1716,-296,-9,-450,0,149
2017-05-01 12:00,1651,1702,-277,-9,-450,0,161
2017-05-01 13:00,1624,1675,-191,-9,-479,4,161
2017-05-01 14:00,1617,1667,-201,-10,-480,0,147
2017-05-01 15:00,1592,1641,-130,-10,-480,0,136
2017-05-01 16:00,1606,1655,-114,-12,-480,0,142
2017-05-01 17:00,1649,1699,-181,-11,-480,0,145
2017-05-01 18:00,1630,1681,-168,-11,-480,0,143
2017-05-01 19:00,1596,1649,-108,-20,-480,28,138
2017-05-01 20:00,1606,1657,-135,-27,-480,0,141
2017-05-01 21:00,1627,1678,-141,-32,-480,0,157
2017-05-01 22:00,1600,1652,-98,-32,-480,4,151
2017-05-01 23:00,1493,1543,104,-43,-477,4,130
2017-05-02 00:00,1401,1449,220,-50,-450,21,107
2017-05-02 01:00,1354,1402,394,-57,-450,0,76
2017-05-02 02:00,1333,1376,388,-50,-407,0,56
2017-05-02 03:00,1330,1372,371,-51,-392,0,37
2017-05-02 04:00,1334,1369,211,-52,-226,0,14
2017-05-02 05:00,1362,1397,194,-51,-222,0,2
2017-05-02 06:00,1432,1478,356,-47,-452,-1,-1
2017-05-02 07:00,1596,1644,200,-41,-480,-51,0
2017-05-02 08:00,1770,1819,36,-39,-480,-93,28
2017-05-02 09:00,1769,1817,17,-27,-480,-68,22
2017-05-02 10:00,1750,1797,28,-9,-480,-76,49
2017-05-02 11:00,1724,1775,48,-8,-480,-87,24
2017-05-02 12:00,1703,1754,-48,-8,-480,-135,44
2017-05-02 13:00,1662,1711,-35,-11,-480,-131,131
2017-05-02 14:00,1643,1690,-61,-9,-480,-102,146
2017-05-02 15:00,1622,1668,-44,-7,-480,-100,131
2017-05-02 16:00,1618,1665,-62,-1,-480,-50,126
2017-05-02 17:00,1657,1703,-147,-1,-480,-20,111
2017-05-02 18:00,1646,1694,-92,-5,-480,7,87
2017-05-02 19:00,1633,1678,-101,-10,-480,0,86
2017-05-02 20:00,1625,1670,-18,-20,-480,25,73
2017-05-02 21:00,1621,1663,55,-14,-480,-48,40
2017-05-02 22:00,1573,1616,137,-12,-480,-61,24
2017-05-02 23:00,1456,1498,237,-19,-480,-31,34
2017-05-03 00:00,1353,1395,350,-28,-477,0,15
2017-05-03 01:00,1292,1332,447,-33,-447,-31,7
2017-05-03 02:00,1269,1309,487,-43,-447,-56,-4
2017-05-03 03:00,1269,1310,488,-46,-447,-57,-1
2017-05-03 04:00,1269,1311,469,-48,-446,-57,2
2017-05-03 05:00,1286,1327,436,-47,-411,-57,-3
2017-05-03 06:00,1324,1365,411,-45,-462,-57,3
2017-05-03 07:00,1417,1450,59,-40,-321,-55,22
2017-05-03 08:00,1505,1540,-104,-38,-480,0,39
2017-05-03 09:00,1509,1548,39,-31,-480,29,40
2017-05-03 10:00,1475,1517,143,-30,-480,30,30
2017-05-03 11:00,1449,1489,145,-28,-480,30,43
2017-05-03 12:00,1430,1469,138,-28,-478,30,45
2017-05-03 13:00,1389,1426,120,-29,-457,49,70
2017-05-03 14:00,1380,1416,139,-30,-452,46,38
2017-05-03 15:00,1368,1401,191,-30,-410,-49,32
2017-05-03 16:00,1362,1394,197,-31,-449,-50,38
2017-05-03 17:00,1407,1443,191,-33,-457,-49,48
2017-05-03 18:00,1415,1455,190,-33,-454,-48,49
2017-05-03 19:00,1407,1450,193,-37,-431,-47,49
2017-05-03 20:00,1436,1484,160,-40,-458,-44,85
2017-05-03 21:00,1446,1495,128,-41,-480,0,79
2017-05-03 22:00,1405,1447,145,-42,-467,-1,86
2017-05-03 23:00,1301,1336,166,-52,-329,-29,60
2017-05-04 00:00,1210,1242,271,-61,-306,0,36
2017-05-04 01:00,1166,1202,440,-67,-446,0,30
2017-05-04 02:00,1199,1226,142,-58,-7,-44,0
2017-05-04 03:00,1208,1234,139,-58,-30,-54,-22
2017-05-04 04:00,1256,1291,420,-58,-291,-55,-14
2017-05-04 05:00,1288,1326,441,-57,-288,-84,-34
2017-05-04 06:00,1336,1379,409,-56,-367,-54,-37
2017-05-04 07:00,1484,1534,269,-59,-480,-1,-13
2017-05-04 08:00,1618,1667,105,-40,-481,0,14
2017-05-04 09:00,1611,1659,110,-28,-481,0,23
