HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2014-04-01 00:00,1751,1793,293,39,-464,0,11
2014-04-01 01:00,1684,1721,209,12,-301,0,-5
2014-04-01 02:00,1672,1709,196,16,-301,0,60
2014-04-01 03:00,1676,1714,186,23,-311,-1,61
2014-04-01 04:00,1681,1720,325,23,-416,-62,102
2014-04-01 05:00,1703,1742,234,26,-359,-122,112
2014-04-01 06:00,1770,1811,211,29,-374,-102,119
2014-04-01 07:00,1937,1986,132,36,-546,-51,133
2014-04-01 08:00,2088,2143,4,42,-559,-1,145
2014-04-01 09:00,2095,2150,58,47,-559,0,145
2014-04-01 10:00,2056,2111,119,45,-559,0,141
2014-04-01 11:00,2018,2073,170,48,-559,0,124
2014-04-01 12:00,1981,2038,148,52,-559,0,125
2014-04-01 13:00,1921,1976,196,52,-559,0,140
2014-04-01 14:00,1879,1932,192,56,-559,0,152
2014-04-01 15:00,1830,1881,181,58,-558,0,145
2014-04-01 16:00,1808,1859,209,57,-558,0,144
2014-04-01 17:00,1814,1865,170,55,-569,0,152
2014-04-01 18:00,1796,1846,219,56,-569,0,154
2014-04-01 19:00,1802,1852,276,48,-559,0,144
2014-04-01 20:00,1855,1907,258,43,-559,0,150
2014-04-01 21:00,1950,2008,127,45,-559,0,154
2014-04-01 22:00,1923,1980,127,41,-559,0,146
2014-04-01 23:00,1821,1873,236,39,-557,0,139
2014-04-02 00:00,1713,1759,257,28,-529,0,119
2014-04-02 01:00,1640,1679,197,40,-381,0,107
2014-04-02 02:00,1626,1670,216,30,-450,1,107
2014-04-02 03:00,1630,1677,157,28,-452,75,103
2014-04-02 04:00,1650,1700,167,28,-554,148,105
2014-04-02 05:00,1687,1740,81,17,-554,149,112
2014-04-02 06:00,1761,1817,4,25,-556,148,115
2014-04-02 07:00,1962,2021,0,34,-569,74,131
2014-04-02 08:00,2150,2214,0,42,-557,1,155
2014-04-02 09:00,2106,2169,0,57,-556,0,156
2014-04-02 10:00,2011,2070,4,55,-556,0,156
2014-04-02 11:00,1922,1977,41,52,-556,0,155
2014-04-02 12:00,1855,1907,2,67,-556,24,166
2014-04-02 13:00,1799,1850,96,69,-557,78,163
2014-04-02 14:00,1777,1829,93,68,-559,99,150
2014-04-02 15:00,1756,1807,68,65,-548,100,151
2014-04-02 16:00,1765,1816,42,65,-557,97,156
2014-04-02 17:00,1811,1861,92,65,-672,2,164
2014-04-02 18:00,1808,1859,44,64,-567,29,169
