HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2019-08-01 00:00,1197,1235,651,73,NA,70,145
2019-08-01 01:00,1106,1131,472,69,-495,53,141
2019-08-01 02:00,1067,1099,659,63,-540,56,117
2019-08-01 03:00,1054,1086,658,61,NA,69,116
2019-08-01 04:00,1048,1078,661,57,NA,70,100
2019-08-01 05:00,1054,1085,675,56,NA,70,74
2019-08-01 06:00,1074,1107,665,57,NA,71,105
2019-08-01 07:00,1161,1202,593,64,NA,119,124
2019-08-01 08:00,1283,1333,569,74,NA,149,147
2019-08-01 09:00,1356,1412,593,83,NA,149,163
2019-08-01 10:00,1392,1448,492,87,NA,144,186
2019-08-01 11:00,1430,1489,499,91,NA,137,192
2019-08-01 12:00,1440,1501,495,92,NA,138,191
2019-08-01 13:00,1430,1492,468,90,NA,149,181
2019-08-01 14:00,1455,1517,446,90,NA,149,184
2019-08-01 15:00,1457,1516,470,83,NA,137,192
2019-08-01 16:00,1458,1517,470,82,NA,144,185
2019-08-01 17:00,1474,1534,460,80,NA,140,189
2019-08-01 18:00,1459,1520,497,79,NA,133,197
2019-08-01 19:00,1439,1500,522,75,NA,131,199
2019-08-01 20:00,1392,1453,547,71,NA,129,201
2019-08-01 21:00,1351,1408,558,75,NA,149,198
2019-08-01 22:00,1355,1408,614,73,NA,147,180
2019-08-01 23:00,1282,1328,671,70,NA,102,165
2019-08-02 00:00,1172,1216,593,73,NA,191,133
2019-08-02 01:00,1082,1109,305,59,-306,131,132
2019-08-02 02:00,1048,1082,655,59,-368,148,129
2019-08-02 03:00,1024,1055,664,58,NA,101,124
2019-08-02 04:00,999,1030,713,34,NA,100,120
2019-08-02 05:00,979,1009,720,35,NA,100,104
2019-08-02 06:00,947,975,688,35,NA,100,121
2019-08-02 07:00,1055,1087,687,39,NA,101,133
2019-08-02 08:00,1189,1226,618,49,NA,148,134
2019-08-02 09:00,1282,1329,672,57,NA,150,152
2019-08-02 10:00,1325,1379,609,65,NA,165,165
2019-08-02 11:00,1345,1399,564,87,NA,146,183
2019-08-02 12:00,1373,1426,508,96,NA,149,180
2019-08-02 13:00,1380,1432,474,100,NA,152,176
2019-08-02 14:00,1399,1452,477,101,NA,153,176
2019-08-02 15:00,1377,1430,485,101,NA,151,179
2019-08-02 16:00,1426,1479,515,77,NA,153,175
2019-08-02 17:00,1436,1490,500,75,NA,156,172
2019-08-02 18:00,1430,1482,516,76,NA,158,171
2019-08-02 19:00,1399,1456,536,78,NA,164,166
2019-08-02 20:00,1356,1414,624,76,NA,150,183
2019-08-02 21:00,1309,1361,639,72,NA,149,187
2019-08-02 22:00,1301,1348,610,84,NA,149,171
2019-08-02 23:00,1234,1280,674,88,NA,149,126
2019-08-03 00:00,1154,1191,657,80,NA,140,116
2019-08-03 01:00,1080,1108,495,72,-574,125,103
2019-08-03 02:00,1043,1075,673,61,-599,125,89
2019-08-03 03:00,1020,1052,664,58,NA,125,100
2019-08-03 04:00,997,1028,664,57,NA,125,105
2019-08-03 05:00,970,999,667,55,NA,125,105
2019-08-03 06:00,953,980,672,55,NA,125,97
2019-08-03 07:00,973,1003,672,53,NA,161,102
2019-08-03 08:00,1053,1086,680,57,NA,169,106
2019-08-03 09:00,1178,1219,665,64,NA,169,139
2019-08-03 10:00,1264,1313,633,72,NA,168,152
2019-08-03 11:00,1319,1369,561,77,NA,162,167
2019-08-03 12:00,1350,1401,521,85,NA,151,178
2019-08-03 13:00,1354,1403,558,89,NA,153,175
2019-08-03 14:00,1347,1393,592,90,NA,170,157
2019-08-03 15:00,1327,1374,647,81,NA,194,134
2019-08-03 16:00,1323,1372,669,66,NA,199,129
2019-08-03 17:00,1337,1387,695,60,NA,195,119
2019-08-03 18:00,1335,1385,735,63,NA,194,124
2019-08-03 19:00,1310,1358,734,62,NA,185,127
2019-08-03 20:00,1269,1313,738,58,NA,184,122
2019-08-03 21:00,1243,1285,763,65,NA,165,115
2019-08-03 22:00,1231,1276,823,62,NA,150,69
2019-08-03 23:00,1175,1216,736,70,NA,149,49
2019-08-04 00:00,1114,1146,680,68,NA,120,68
2019-08-04 01:00,1058,1087,668,56,NA,99,91
2019-08-04 02:00,1027,1053,678,53,NA,75,71
2019-08-04 03:00,1006,1032,668,50,NA,89,80
2019-08-04 04:00,984,1009,696,47,NA,75,60
2019-08-04 05:00,978,1003,696,46,NA,74,65
2019-08-04 06:00,977,1002,685,41,NA,75,88
2019-08-04 07:00,994,1020,681,41,NA,100,90
2019-08-04 08:00,1055,1086,676,44,NA,149,109
2019-08-04 09:00,1148,1187,669,56,NA,169,136
2019-08-04 10:00,1232,1278,668,66,NA,170,155
2019-08-04 11:00,1278,1328,667,70,NA,170,156
2019-08-04 12:00,1296,1348,650,80,NA,170,155
2019-08-04 13:00,1301,1351,641,85,NA,170,160
2019-08-04 14:00,1275,1325,657,85,NA,171,158
2019-08-04 15:00,1252,1302,715,73,NA,179,152
2019-08-04 16:00,1244,1294,743,69,NA,179,155
2019-08-04 17:00,1262,1314,735,68,NA,161,169
2019-08-04 18:00,1272,1324,708,66,NA,161,167
2019-08-04 19:00,1254,1303,718,65,NA,165,164
2019-08-04 20:00,1214,1264,746,64,NA,150,164
2019-08-04 21:00,1184,1234,748,73,NA,149,151
2019-08-04 22:00,1190,1238,729,72,NA,151,147
2019-08-04 23:00,1136,1181,725,64,NA,194,140
2019-08-05 00:00,1075,1113,676,50,NA,195,133
2019-08-05 01:00,1016,1047,680,40,NA,197,120
2019-08-05 02:00,979,1005,681,48,NA,101,97
2019-08-05 03:00,963,989,741,34,NA,75,59
2019-08-05 04:00,959,984,766,34,NA,50,50
2019-08-05 05:00,971,997,767,34,NA,50,50
2019-08-05 06:00,982,1009,765,34,NA,51,53
2019-08-05 07:00,1007,1034,692,42,NA,99,97
2019-08-05 08:00,1080,1114,688,52,NA,149,101
2019-08-05 09:00,1160,1201,684,67,NA,169,118
2019-08-05 10:00,1237,1283,675,78,NA,170,141
2019-08-05 11:00,1289,1339,675,81,NA,170,139
2019-08-05 12:00,1313,1364,681,77,NA,170,136
