HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2013-09-01 00:00,1080,1136,740,NA,-464,1,97
2013-09-01 01:00,1028,1083,795,NA,-501,0,79
2013-09-01 02:00,991,1043,664,NA,-501,0,67
2013-09-01 03:00,973,1024,658,NA,-485,0,61
2013-09-01 04:00,959,1005,507,NA,-295,0,55
2013-09-01 05:00,950,994,169,49,-228,0,78
2013-09-01 06:00,953,999,568,NA,-301,0,83
2013-09-01 07:00,969,1016,604,NA,-315,1,77
2013-09-01 08:00,999,1056,681,NA,-564,74,96
2013-09-01 09:00,1089,1157,674,NA,-644,138,107
2013-09-01 10:00,1178,1252,673,NA,-647,140,129
2013-09-01 11:00,1228,1304,660,NA,-680,140,132
2013-09-01 12:00,1256,1335,684,NA,-680,140,139
2013-09-01 13:00,1261,1342,731,NA,-680,140,147
2013-09-01 14:00,1237,1316,731,NA,-680,140,148
2013-09-01 15:00,1212,1290,660,NA,-680,140,146
2013-09-01 16:00,1203,1279,660,NA,-680,140,145
2013-09-01 17:00,1225,1302,708,NA,-680,140,150
2013-09-01 18:00,1239,1315,715,NA,-680,140,133
2013-09-01 19:00,1210,1284,730,NA,-680,140,100
2013-09-01 20:00,1203,1275,726,NA,-680,140,102
2013-09-01 21:00,1233,1305,739,NA,-680,140,90
2013-09-01 22:00,1200,1272,753,NA,-680,140,76
2013-09-01 23:00,1141,1211,742,NA,-680,137,66
2013-09-02 00:00,1065,1123,774,NA,-452,2,55
2013-09-02 01:00,1001,1056,770,NA,-472,0,45
2013-09-02 02:00,966,1019,799,NA,-491,1,47
2013-09-02 03:00,950,1005,799,NA,-494,48,55
2013-09-02 04:00,932,986,798,NA,-483,29,70
2013-09-02 05:00,927,976,715,NA,-399,0,67
2013-09-02 06:00,939,987,715,NA,-395,0,67
2013-09-02 07:00,971,1020,676,NA,-369,2,79
2013-09-02 08:00,1014,1068,588,NA,-469,137,86
2013-09-02 09:00,1099,1158,503,NA,-466,140,105
2013-09-02 10:00,1203,1275,682,NA,-644,140,101
2013-09-02 11:00,1264,1341,724,NA,-644,140,91
2013-09-02 12:00,1306,1386,693,NA,-644,140,88
2013-09-02 13:00,1313,1395,700,NA,-647,140,79
2013-09-02 14:00,1297,1377,739,NA,-680,140,79
2013-09-02 15:00,1277,1358,736,NA,-680,140,83
2013-09-02 16:00,1279,1361,746,NA,-680,140,80
2013-09-02 17:00,1328,1414,760,NA,-680,140,92
2013-09-02 18:00,1342,1424,739,NA,-680,140,92
2013-09-02 19:00,1317,1392,727,NA,-680,140,106
2013-09-02 20:00,1331,1406,718,NA,-680,140,116
2013-09-02 21:00,1339,1417,762,NA,-680,140,102
2013-09-02 22:00,1283,1357,798,NA,-680,140,74
2013-09-02 23:00,1184,1253,792,NA,-660,137,59
2013-09-03 00:00,1081,1139,799,NA,-403,41,53
2013-09-03 01:00,985,1037,799,NA,-298,0,28
2013-09-03 02:00,947,999,799,NA,-301,0,31
2013-09-03 03:00,932,981,799,NA,-297,0,23
2013-09-03 04:00,927,976,799,NA,-251,0,13
2013-09-03 05:00,945,995,799,NA,-256,0,12
2013-09-03 06:00,986,1037,799,NA,-309,0,26
2013-09-03 07:00,1139,1195,783,NA,-397,5,31
2013-09-03 08:00,1281,1341,423,NA,-375,133,79
2013-09-03 09:00,1303,1370,726,NA,-639,100,17
2013-09-03 10:00,1336,1403,763,NA,-639,100,33
2013-09-03 11:00,1356,1426,799,NA,-639,100,21
2013-09-03 12:00,1374,1446,799,NA,-639,100,22
2013-09-03 13:00,1379,1452,799,NA,-639,100,35
2013-09-03 14:00,1382,1457,799,NA,-639,100,37
2013-09-03 15:00,1367,1444,799,NA,-639,100,33
2013-09-03 16:00,1372,1450,799,NA,-666,100,49
2013-09-03 17:00,1387,1469,797,NA,-665,100,108
2013-09-03 18:00,1381,1462,784,NA,-667,102,110
2013-09-03 19:00,1346,1431,732,NA,-704,197,115
2013-09-03 20:00,1345,1431,788,NA,-704,200,124
2013-09-03 21:00,1391,1479,798,NA,-704,200,115
2013-09-03 22:00,1349,1431,742,NA,-703,198,99
2013-09-03 23:00,1228,1300,738,NA,-668,140,89
2013-09-04 00:00,1132,1195,781,NA,-521,99,76
2013-09-04 01:00,1050,1104,660,NA,-351,51,61
2013-09-04 02:00,1009,1067,649,NA,-351,74,34
2013-09-04 03:00,993,1052,644,NA,-347,74,47
2013-09-04 04:00,986,1043,711,NA,-295,74,51
2013-09-04 05:00,981,1033,523,NA,-228,74,58
2013-09-04 06:00,996,1048,589,NA,-306,73,64
2013-09-04 07:00,1131,1184,516,NA,-374,3,83
2013-09-04 08:00,1262,1338,791,NA,-626,96,80
2013-09-04 09:00,1266,1337,681,NA,-503,99,88
2013-09-04 10:00,1283,1357,698,NA,-508,99,119
2013-09-04 11:00,1292,1369,695,NA,-575,99,142
2013-09-04 12:00,1315,1394,742,NA,-570,99,148
2013-09-04 13:00,1308,1387,719,NA,-541,99,145
2013-09-04 14:00,1329,1403,646,NA,-538,99,150
2013-09-04 15:00,1330,1395,625,NA,-469,99,140
2013-09-04 16:00,1329,1401,625,NA,-454,99,135
2013-09-04 17:00,1359,1429,625,NA,-542,99,145
2013-09-04 18:00,1345,1418,747,NA,-503,99,148
2013-09-04 19:00,1318,1391,792,NA,-503,99,116
2013-09-04 20:00,1305,1379,799,NA,-503,99,104
2013-09-04 21:00,1348,1424,788,NA,-503,99,101
2013-09-04 22:00,1308,1376,611,NA,-503,99,98
2013-09-04 23:00,1200,1263,690,NA,-490,98,96
2013-09-05 00:00,1103,1158,739,NA,-311,75,65
2013-09-05 01:00,1015,1064,603,NA,-297,74,30
2013-09-05 02:00,981,1033,732,NA,-237,75,-1
2013-09-05 03:00,960,1012,609,NA,-120,99,11
2013-09-05 04:00,954,1007,591,NA,-118,100,24
2013-09-05 05:00,958,1012,539,NA,-118,100,73
2013-09-05 06:00,986,1041,531,NA,-136,100,95
2013-09-05 07:00,1131,1190,570,NA,-361,100,121
2013-09-05 08:00,1294,1366,541,NA,-610,100,137
2013-09-05 09:00,1302,1377,542,NA,-610,100,141
2013-09-05 10:00,1301,1381,543,NA,-516,101,149
2013-09-05 11:00,1325,1411,549,NA,-610,148,156
2013-09-05 12:00,1344,1431,644,NA,-610,149,162
2013-09-05 13:00,1313,1399,710,NA,-677,150,152
2013-09-05 14:00,1312,1402,708,NA,-709,183,149
2013-09-05 15:00,1293,1383,644,NA,-642,205,149
2013-09-05 16:00,1284,1373,644,NA,-640,204,160
2013-09-05 17:00,1315,1405,647,NA,-640,203,167
2013-09-05 18:00,1303,1394,648,NA,-642,205,166
2013-09-05 19:00,1283,1371,649,NA,-650,212,154
2013-09-05 20:00,1285,1372,653,NA,-651,213,152
2013-09-05 21:00,1345,1431,654,NA,-651,213,155
2013-09-05 22:00,1306,1386,650,NA,-646,183,137
2013-09-05 23:00,1196,1264,507,NA,-581,139,122
2013-09-06 00:00,1087,1144,498,NA,-332,100,102
2013-09-06 01:00,990,1044,557,NA,-301,100,51
2013-09-06 02:00,988,1043,612,NA,-301,99,52
2013-09-06 03:00,981,1032,677,NA,-222,70,37
2013-09-06 04:00,973,1022,596,NA,-217,50,36
2013-09-06 05:00,976,1026,612,NA,-217,49,22
2013-09-06 06:00,973,1024,618,NA,-236,46,21
2013-09-06 07:00,1124,1184,652,NA,-467,100,34
