HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2014-11-01 00:00,1300,1333,423,-34,-233,144,116
2014-11-01 01:00,1240,1271,332,5,-301,100,111
2014-11-01 02:00,1214,1245,398,-19,-345,100,103
2014-11-01 03:00,1204,1234,400,-20,-344,100,100
2014-11-01 04:00,1214,1244,400,-21,-343,100,94
2014-11-01 05:00,1212,1241,400,-21,-342,100,94
2014-11-01 06:00,1230,1259,400,-22,-337,100,93
2014-11-01 07:00,1300,1330,400,-18,-330,99,86
2014-11-01 08:00,1395,1429,400,-14,-323,75,72
2014-11-01 09:00,1497,1533,399,-19,-315,75,69
2014-11-01 10:00,1566,1605,374,-20,-282,113,80
2014-11-01 11:00,1595,1633,398,-17,-302,98,102
2014-11-01 12:00,1590,1628,427,-17,-309,88,107
2014-11-01 13:00,1574,1610,449,-16,-315,75,71
2014-11-01 14:00,1545,1582,449,-16,-359,99,59
2014-11-01 15:00,1535,1571,441,-19,-354,114,57
2014-11-01 16:00,1542,1580,449,-18,-353,114,92
2014-11-01 17:00,1586,1624,450,-16,-352,97,103
2014-11-01 18:00,1627,1670,449,-12,-341,114,65
2014-11-01 19:00,1642,1680,431,-11,-244,113,85
2014-11-01 20:00,1632,1670,428,-13,-205,114,66
2014-11-01 21:00,1590,1627,351,-12,-244,115,34
2014-11-01 22:00,1538,1571,351,-17,-247,115,19
2014-11-01 23:00,1473,1502,422,-25,-306,115,-7
2014-11-02 00:00,1403,1429,376,-30,-258,114,-16
2014-11-02 01:00,1340,1364,374,-35,-330,75,42
2014-11-02 01:00,1310,1333,373,-18,-348,74,38
2014-11-02 02:00,1299,1321,326,-17,-345,74,38
2014-11-02 03:00,1300,1322,325,-13,-304,74,36
2014-11-02 04:00,1315,1337,325,-16,-303,74,39
2014-11-02 05:00,1332,1355,325,-24,-303,74,40
2014-11-02 06:00,1371,1396,325,-20,-297,74,42
2014-11-02 07:00,1440,1465,325,-16,-230,74,56
2014-11-02 08:00,1536,1565,325,-14,-230,74,67
2014-11-02 09:00,1647,1682,350,-13,-286,76,81
2014-11-02 10:00,1726,1767,398,-13,-374,123,85
2014-11-02 11:00,1754,1796,400,-11,-374,125,85
2014-11-02 12:00,1771,1813,400,-11,-374,125,86
2014-11-02 13:00,1775,1818,400,-11,-375,125,87
2014-11-02 14:00,1757,1800,400,-11,-379,125,84
2014-11-02 15:00,1735,1778,400,-14,-381,125,89
2014-11-02 16:00,1733,1778,424,-19,-404,125,92
2014-11-02 17:00,1772,1820,423,-19,-404,125,112
2014-11-02 18:00,1793,1837,351,-4,-334,125,133
2014-11-02 19:00,1759,1801,350,-6,-329,125,114
2014-11-02 20:00,1728,1767,350,-7,-328,123,96
2014-11-02 21:00,1677,1713,350,-11,-324,76,86
2014-11-02 22:00,1617,1649,350,-16,-324,74,72
2014-11-02 23:00,1518,1547,350,-15,-322,74,54
2014-11-03 00:00,1441,1467,348,-23,-231,74,43
2014-11-03 01:00,1392,1415,301,-35,-184,44,45
2014-11-03 02:00,1377,1399,300,-21,-64,0,44
2014-11-03 03:00,1376,1398,300,-25,-62,0,36
2014-11-03 04:00,1388,1411,298,-51,-32,0,32
2014-11-03 05:00,1419,1443,250,-21,-16,0,33
2014-11-03 06:00,1487,1514,201,-18,-39,0,47
2014-11-03 07:00,1672,1707,200,-9,-52,0,70
2014-11-03 08:00,1820,1860,198,-8,-173,44,86
2014-11-03 09:00,1833,1873,126,6,-110,73,98
2014-11-03 10:00,1826,1865,126,8,-110,52,102
2014-11-03 11:00,1812,1851,198,9,-187,4,110
2014-11-03 12:00,1817,1859,200,7,-184,9,103
2014-11-03 13:00,1783,1824,200,-21,-160,0,112
