HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2016-09-01 00:00,1126,1150,586,-12,-349,-51,104
2016-09-01 01:00,1067,1087,586,-20,-349,-76,85
2016-09-01 02:00,1038,1056,641,-4,-349,-61,77
2016-09-01 03:00,1025,1043,570,-4,-349,-31,79
2016-09-01 04:00,1017,1036,569,-5,-349,0,80
2016-09-01 05:00,1022,1043,569,-5,-349,0,85
2016-09-01 06:00,1057,1081,569,-3,-349,0,103
2016-09-01 07:00,1162,1191,568,1,-349,0,109
2016-09-01 08:00,1299,1333,540,0,-349,0,138
2016-09-01 09:00,1357,1393,455,9,-349,0,158
2016-09-01 10:00,1381,1418,422,12,-349,0,160
2016-09-01 11:00,1370,1408,405,12,-349,0,165
2016-09-01 12:00,1375,1413,409,10,-349,0,166
2016-09-01 13:00,1358,1397,406,10,-349,0,166
2016-09-01 14:00,1366,1405,421,9,-349,0,178
2016-09-01 15:00,1356,1393,458,12,-349,0,178
2016-09-01 16:00,1366,1404,476,8,-349,1,166
2016-09-01 17:00,1401,1441,396,7,-349,63,166
2016-09-01 18:00,1388,1427,422,7,-349,65,157
2016-09-01 19:00,1357,1393,489,7,-349,65,122
2016-09-01 20:00,1326,1362,509,4,-354,64,93
2016-09-01 21:00,1337,1375,466,5,-423,35,129
2016-09-01 22:00,1297,1332,516,2,-419,34,116
2016-09-01 23:00,1217,1246,659,-1,-349,1,103
2016-09-02 00:00,1132,1158,663,-10,-349,29,68
2016-09-02 01:00,1061,1085,523,-17,-349,59,51
2016-09-02 02:00,1028,1049,567,-15,-349,60,36
2016-09-02 03:00,1018,1037,576,-15,-349,79,33
2016-09-02 04:00,1018,1036,565,-17,-349,79,26
2016-09-02 05:00,1022,1042,564,-16,-347,66,29
2016-09-02 06:00,1037,1056,513,-14,-305,67,31
2016-09-02 07:00,1125,1146,541,-10,-349,1,43
2016-09-02 08:00,1250,1277,606,-8,-349,0,56
2016-09-02 09:00,1315,1343,571,9,-349,29,64
2016-09-02 10:00,1352,1382,524,9,-349,34,42
2016-09-02 11:00,1369,1398,498,10,-348,35,50
2016-09-02 12:00,1366,1395,424,10,-300,35,39
2016-09-02 13:00,1343,1371,478,6,-349,39,42
2016-09-02 14:00,1325,1353,497,6,-349,39,26
2016-09-02 15:00,1304,1332,507,7,-349,35,30
2016-09-02 16:00,1293,1322,514,2,-349,35,36
2016-09-02 17:00,1295,1326,562,2,-349,63,54
2016-09-02 18:00,1280,1309,560,-4,-349,35,66
2016-09-02 19:00,1244,1273,609,-3,-349,34,87
2016-09-02 20:00,1225,1253,558,-6,-349,1,109
2016-09-02 21:00,1249,1279,514,0,-349,43,112
2016-09-02 22:00,1220,1250,503,-3,-349,44,107
2016-09-02 23:00,1150,1177,533,-11,-349,14,98
2016-09-03 00:00,1077,1101,499,-18,-348,29,98
2016-09-03 01:00,1012,1032,459,-20,-303,30,94
2016-09-03 02:00,979,998,573,-27,-349,59,96
2016-09-03 03:00,961,979,506,-21,-349,60,98
2016-09-03 04:00,963,981,461,-36,-302,103,88
2016-09-03 05:00,963,980,472,-37,-302,104,76
2016-09-03 06:00,978,999,539,-36,-346,104,55
2016-09-03 07:00,1013,1036,492,-29,-301,104,68
2016-09-03 08:00,1054,1078,486,-44,-302,76,91
2016-09-03 09:00,1134,1164,419,-35,-349,105,112
2016-09-03 10:00,1203,1237,552,-21,-399,134,123
2016-09-03 11:00,1234,1271,624,-18,-478,95,127
2016-09-03 12:00,1237,1275,623,-7,-478,95,128
2016-09-03 13:00,1230,1267,609,-7,-474,109,124
2016-09-03 14:00,1210,1243,611,-8,-423,118,117
2016-09-03 15:00,1184,1215,648,-11,-399,78,105
2016-09-03 16:00,1164,1195,650,-16,-380,50,103
2016-09-03 17:00,1178,1211,633,-11,-399,60,123
2016-09-03 18:00,1199,1231,496,-11,-398,20,131
2016-09-03 19:00,1187,1218,492,-11,-387,20,129
2016-09-03 20:00,1175,1206,492,-10,-372,20,132
2016-09-03 21:00,1210,1244,602,-3,-423,45,136
2016-09-03 22:00,1188,1220,603,-3,-399,78,133
2016-09-03 23:00,1127,1157,579,-8,-349,36,128
2016-09-04 00:00,1065,1092,511,-14,-349,74,115
2016-09-04 01:00,1014,1037,509,-21,-347,75,109
2016-09-04 02:00,970,992,465,-21,-304,104,105
2016-09-04 03:00,958,981,508,-23,-346,104,100
2016-09-04 04:00,953,974,463,-27,-301,104,92
2016-09-04 05:00,943,964,461,-25,-300,104,93
2016-09-04 06:00,957,979,461,-24,-300,104,102
2016-09-04 07:00,980,1003,461,-22,-301,104,112
2016-09-04 08:00,1031,1057,504,-22,-344,75,122
2016-09-04 09:00,1113,1140,418,-20,-302,45,134
2016-09-04 10:00,1181,1212,418,-13,-357,44,148
2016-09-04 11:00,1212,1248,505,-12,-449,3,150
2016-09-04 12:00,1222,1262,470,-17,-469,117,150
2016-09-04 13:00,1219,1257,601,-17,-468,119,146
2016-09-04 14:00,1198,1235,470,-17,-444,119,141
2016-09-04 15:00,1169,1203,512,-17,-399,76,141
2016-09-04 16:00,1142,1176,518,-23,-399,74,141
2016-09-04 17:00,1126,1155,239,-28,-393,75,141
2016-09-04 18:00,1137,1166,181,-23,-49,94,142
2016-09-04 19:00,1121,1146,386,-28,-70,60,136
2016-09-04 20:00,1142,1166,393,-23,-70,49,127
2016-09-04 21:00,1184,1208,396,-22,-70,35,131
2016-09-04 22:00,1167,1190,427,-24,-100,50,119
2016-09-04 23:00,1114,1135,428,-25,-100,74,84
2016-09-05 00:00,1051,1068,429,-33,-100,103,49
2016-09-05 01:00,1000,1014,295,-39,-98,75,39
2016-09-05 02:00,968,980,325,-32,-75,49,27
2016-09-05 03:00,952,963,364,-40,-75,1,26
2016-09-05 04:00,945,956,363,-40,-75,0,26
2016-09-05 05:00,943,954,297,-33,-75,0,25
2016-09-05 06:00,964,976,280,-32,-76,0,30
2016-09-05 07:00,993,1005,275,-23,-100,0,41
2016-09-05 08:00,1031,1045,277,-20,-100,6,51
2016-09-05 09:00,1116,1134,412,-10,-100,29,56
2016-09-05 10:00,1200,1224,275,3,-99,30,87
2016-09-05 11:00,1260,1287,179,4,-100,30,104
2016-09-05 12:00,1297,1325,279,3,-100,69,104
2016-09-05 13:00,1298,1326,274,3,-100,69,129
2016-09-05 14:00,1220,1247,274,3,-100,41,114
2016-09-05 15:00,1189,1215,278,-2,-100,68,108
2016-09-05 16:00,1186,1209,321,-2,-100,30,97
2016-09-05 17:00,1227,1251,324,-2,-100,29,97
2016-09-05 18:00,1243,1268,341,-1,-100,25,89
2016-09-05 19:00,1238,1262,351,-1,-99,11,76
2016-09-05 20:00,1282,1306,402,0,-99,0,82
2016-09-05 21:00,1314,1339,359,1,-99,0,82
2016-09-05 22:00,1258,1282,450,-6,-100,1,63
2016-09-05 23:00,1150,1171,446,-11,-100,74,53
2016-09-06 00:00,1060,1077,445,-18,-100,78,25
2016-09-06 01:00,1003,1016,416,-22,-100,1,14
2016-09-06 02:00,972,984,348,-24,-100,0,15
2016-09-06 03:00,956,969,372,-24,-100,0,25
2016-09-06 04:00,954,967,306,-23,-100,0,51
2016-09-06 05:00,962,975,270,-22,-100,0,63
2016-09-06 06:00,1002,1018,267,-20,-100,15,83
2016-09-06 07:00,1154,1175,334,-10,-99,0,106
2016-09-06 08:00,1303,1329,212,3,-100,0,139
2016-09-06 09:00,1320,1350,84,12,-100,39,152
2016-09-06 10:00,1340,1372,113,15,-99,59,161
2016-09-06 11:00,1362,1396,140,16,-100,59,159
2016-09-06 12:00,1378,1413,88,17,-100,59,166
2016-09-06 13:00,1376,1411,86,17,-100,60,166
2016-09-06 14:00,1398,1436,59,22,-100,104,169
2016-09-06 15:00,1400,1439,91,20,-100,104,166
2016-09-06 16:00,1416,1456,94,19,-100,104,170
2016-09-06 17:00,1455,1496,66,19,-100,104,180
2016-09-06 18:00,1441,1481,75,20,-100,104,183
2016-09-06 19:00,1419,1456,189,14,-100,61,173
2016-09-06 20:00,1412,1449,211,14,-100,59,163
2016-09-06 21:00,1449,1486,193,17,-100,59,152
2016-09-06 22:00,1384,1416,246,10,-100,59,159
2016-09-06 23:00,1269,1296,358,-4,-100,45,113
2016-09-07 00:00,1158,1180,347,-12,-100,74,77
2016-09-07 01:00,1070,1089,357,-24,-95,102,51
2016-09-07 02:00,1042,1057,352,-28,-2,31,49
2016-09-07 03:00,1017,1031,326,-29,-2,50,57
2016-09-07 04:00,1002,1016,347,-34,-2,79,32
2016-09-07 05:00,1003,1017,344,-32,-4,80,35
2016-09-07 06:00,1026,1041,215,-31,-100,78,37
2016-09-07 07:00,1163,1179,344,-17,-61,3,44
2016-09-07 08:00,1308,1333,275,-2,-100,58,79
2016-09-07 09:00,1331,1359,278,7,-105,59,83
2016-09-07 10:00,1348,1379,208,10,-107,61,101
2016-09-07 11:00,1375,1410,122,10,-107,148,101
2016-09-07 12:00,1390,1426,140,12,-122,148,99
2016-09-07 13:00,1384,1416,163,11,-120,102,109
2016-09-07 14:00,1399,1432,112,9,-104,148,107
2016-09-07 15:00,1403,1436,205,9,-101,149,87
2016-09-07 16:00,1418,1450,163,8,-102,148,86
2016-09-07 17:00,1447,1478,146,8,-111,100,80
2016-09-07 18:00,1436,1466,255,9,-107,52,70
2016-09-07 19:00,1409,1439,248,3,-112,97,43
2016-09-07 20:00,1403,1431,299,1,-112,51,63
2016-09-07 21:00,1435,1464,273,0,-114,50,68
2016-09-07 22:00,1370,1398,334,-4,-144,80,60
2016-09-07 23:00,1257,1283,434,-14,-111,147,44
2016-09-08 00:00,1139,1159,367,-29,-9,101,7
2016-09-08 01:00,1059,1075,367,-34,-100,98,0
2016-09-08 02:00,1026,1041,446,-26,-100,51,5
2016-09-08 03:00,1005,1019,446,-28,-100,50,7
2016-09-08 04:00,1000,1013,443,-29,-100,50,3
2016-09-08 05:00,1005,1018,393,-29,-100,50,-17
2016-09-08 06:00,1032,1047,390,-14,-99,50,7
2016-09-08 07:00,1172,1193,341,-7,-100,51,35
2016-09-08 08:00,1327,1356,228,7,-100,103,70
2016-09-08 09:00,1348,1379,163,13,-100,104,105
2016-09-08 10:00,1371,1404,113,23,-100,103,113
2016-09-08 11:00,1379,1412,136,25,-102,46,126
2016-09-08 12:00,1390,1424,129,26,-102,44,152
2016-09-08 13:00,1370,1403,68,26,-102,44,150
2016-09-08 14:00,1385,1418,65,26,-102,44,152
2016-09-08 15:00,1383,1416,136,26,-102,44,164
2016-09-08 16:00,1395,1430,113,25,-102,44,163
2016-09-08 17:00,1428,1463,113,13,-102,44,175
2016-09-08 18:00,1420,1454,140,12,-102,20,173
2016-09-08 19:00,1390,1423,197,22,-101,19,163
2016-09-08 20:00,1385,1418,233,23,-100,0,166
2016-09-08 21:00,1406,1439,205,23,-100,0,183
2016-09-08 22:00,1344,1375,325,20,-100,0,175
2016-09-08 23:00,1245,1272,388,2,-102,1,145
2016-09-09 00:00,1138,1161,394,-1,-101,48,119
2016-09-09 01:00,1057,1079,487,-13,-101,50,105
2016-09-09 02:00,1023,1042,419,-29,-101,70,82
2016-09-09 03:00,1011,1026,416,-30,-100,1,64
2016-09-09 04:00,999,1014,353,-30,-101,0,54
2016-09-09 05:00,1011,1026,290,-28,-101,0,51
2016-09-09 06:00,1041,1055,361,-25,-100,0,54
2016-09-09 07:00,1177,1195,427,-17,-100,1,78
2016-09-09 08:00,1332,1358,368,-5,-99,47,103
2016-09-09 09:00,1347,1373,334,-1,-100,2,99
2016-09-09 10:00,1358,1386,267,1,-100,57,115
2016-09-09 11:00,1377,1406,287,2,-102,20,98
2016-09-09 12:00,1392,1422,218,4,-100,19,106
