HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2016-03-01 00:00,1558,1587,465,-51,-410,0,54
2016-03-01 01:00,1497,1523,407,-56,-351,0,37
2016-03-01 02:00,1485,1512,389,-65,-202,0,42
2016-03-01 03:00,1495,1522,404,-67,-321,0,55
2016-03-01 04:00,1518,1548,394,-70,-301,0,55
2016-03-01 05:00,1554,1585,412,-70,-320,0,49
2016-03-01 06:00,1668,1702,639,-68,-546,1,28
2016-03-01 07:00,1881,1929,702,-60,-680,48,45
2016-03-01 08:00,2082,2133,474,-45,-564,50,63
2016-03-01 09:00,2040,2089,511,-36,-624,50,84
2016-03-01 10:00,1978,2024,513,-35,-624,74,68
2016-03-01 11:00,1938,1984,659,-37,-624,74,35
2016-03-01 12:00,1850,1894,667,-37,-624,74,28
2016-03-01 13:00,1790,1832,739,-42,-624,35,7
2016-03-01 14:00,1763,1803,767,-42,-635,21,1
2016-03-01 15:00,1733,1777,849,-38,-773,68,34
2016-03-01 16:00,1732,1776,898,-39,-773,55,26
2016-03-01 17:00,1838,1886,871,-37,-773,55,45
2016-03-01 18:00,1903,1952,663,-26,-773,55,39
2016-03-01 19:00,2020,2076,655,-23,-773,55,68
2016-03-01 20:00,2066,2127,650,-24,-773,55,70
2016-03-01 21:00,2064,2127,637,-27,-760,85,92
2016-03-01 22:00,2007,2061,488,-32,-615,27,111
2016-03-01 23:00,1934,1993,732,-31,-795,78,97
2016-03-02 00:00,1858,1912,724,-55,-674,57,100
2016-03-02 01:00,1797,1844,395,-56,-332,89,101
2016-03-02 02:00,1787,1836,381,-45,-378,124,124
2016-03-02 03:00,1790,1840,327,-46,-380,134,135
2016-03-02 04:00,1808,1858,327,-47,-427,156,135
2016-03-02 05:00,1843,1891,331,-63,-434,161,136
2016-03-02 06:00,1921,1971,339,-60,-433,129,134
2016-03-02 07:00,2066,2123,399,-61,-462,62,132
2016-03-02 08:00,2192,2255,405,-52,-570,30,127
2016-03-02 09:00,2190,2248,416,-46,-541,15,116
2016-03-02 10:00,2164,2220,521,-45,-541,49,81
2016-03-02 11:00,2150,2205,581,-34,-552,49,63
2016-03-02 12:00,2126,2187,841,-35,-680,35,37
2016-03-02 13:00,2075,2127,615,-38,-607,35,30
2016-03-02 14:00,2031,2083,725,-38,-607,35,7
2016-03-02 15:00,1965,2014,733,-24,-612,35,0
2016-03-02 16:00,1945,1991,677,-23,-625,35,9
2016-03-02 17:00,1932,1978,677,-27,-631,35,21
2016-03-02 18:00,1884,1928,615,-44,-672,35,43
2016-03-02 19:00,1886,1932,643,-38,-739,35,34
2016-03-02 20:00,1895,1941,692,-35,-735,35,29
2016-03-02 21:00,1894,1938,728,-39,-690,35,30
2016-03-02 22:00,1903,1948,817,-45,-675,35,27
2016-03-02 23:00,1844,1892,952,-48,-680,35,-1
2016-03-03 00:00,1772,1813,855,-56,-510,34,-6
2016-03-03 01:00,1748,1783,770,-61,-454,0,-8
2016-03-03 02:00,1779,1817,909,-63,-599,0,-2
2016-03-03 03:00,1811,1851,914,-61,-599,0,-20
2016-03-03 04:00,1866,1909,884,-64,-607,0,-32
2016-03-03 05:00,1937,1985,923,-63,-710,0,-38
2016-03-03 06:00,2048,2100,869,-60,-751,19,-38
2016-03-03 07:00,2287,2351,686,-55,-782,38,-11
2016-03-03 08:00,2503,2583,733,-37,-972,0,10
2016-03-03 09:00,2454,2533,707,-33,-972,0,11
2016-03-03 10:00,2356,2433,797,-34,-972,0,41
2016-03-03 11:00,2305,2380,847,-28,-972,0,43
2016-03-03 12:00,2275,2350,939,-26,-965,0,53
2016-03-03 13:00,2212,2279,771,-29,-896,0,49
2016-03-03 14:00,2188,2255,760,-31,-888,0,52
2016-03-03 15:00,2154,2219,759,-32,-882,0,63
2016-03-03 16:00,2171,2237,763,-39,-884,0,56
2016-03-03 17:00,2237,2310,865,-39,-970,0,48
2016-03-03 18:00,2296,2371,866,-36,-969,0,44
2016-03-03 19:00,2419,2502,886,-33,-973,0,44
2016-03-03 20:00,2467,2552,758,-39,-1011,0,57
2016-03-03 21:00,2437,2523,829,-40,-1008,0,55
2016-03-03 22:00,2368,2449,876,-45,-969,0,54
2016-03-03 23:00,2270,2344,878,-53,-921,0,35
2016-03-04 00:00,2190,2258,915,-58,-859,0,-15
2016-03-04 01:00,2120,2191,882,-60,-996,22,21
2016-03-04 02:00,2080,2150,757,-59,-998,1,29
2016-03-04 03:00,2105,2175,669,-60,-998,25,24
2016-03-04 04:00,2152,2222,595,-60,-998,25,22
2016-03-04 05:00,2237,2309,509,-58,-998,25,31
2016-03-04 06:00,2329,2404,412,-53,-999,26,16
2016-03-04 07:00,2526,2611,313,-43,-1020,34,77
2016-03-04 08:00,2670,2764,286,-23,-1034,35,84
2016-03-04 09:00,2565,2657,372,-13,-1034,36,111
2016-03-04 10:00,2435,2518,403,-11,-940,106,114
2016-03-04 11:00,2352,2435,742,-9,-984,35,142
2016-03-04 12:00,2270,2346,813,-4,-972,0,160
2016-03-04 13:00,2127,2197,801,-3,-972,0,174
2016-03-04 14:00,2039,2106,800,-5,-972,0,165
2016-03-04 15:00,1985,2052,799,-4,-972,45,166
2016-03-04 16:00,1982,2049,797,-5,-972,1,165
2016-03-04 17:00,2010,2079,769,-3,-972,15,179
2016-03-04 18:00,2046,2117,784,-1,-972,0,191
2016-03-04 19:00,2135,2210,786,2,-972,0,191
2016-03-04 20:00,2171,2249,876,-3,-972,0,191
2016-03-04 21:00,2157,2233,788,-7,-972,0,191
2016-03-04 22:00,2109,2183,786,-12,-963,0,190
2016-03-04 23:00,2036,2101,786,-18,-852,0,188
2016-03-05 00:00,1979,2038,823,-25,-770,0,167
2016-03-05 01:00,1933,1989,805,-27,-755,0,141
2016-03-05 02:00,1916,1976,785,-28,-928,0,142
2016-03-05 03:00,1920,1977,743,-29,-877,0,125
2016-03-05 04:00,1931,1986,718,-30,-830,0,87
2016-03-05 05:00,1957,2011,724,-38,-830,0,54
2016-03-05 06:00,2012,2068,763,-37,-838,0,54
2016-03-05 07:00,2099,2159,804,-35,-933,0,53
2016-03-05 08:00,2182,2246,806,-28,-972,0,65
2016-03-05 09:00,2247,2316,822,-25,-972,0,68
2016-03-05 10:00,2249,2316,831,-18,-972,0,64
2016-03-05 11:00,2199,2265,840,-24,-971,0,70
2016-03-05 12:00,2118,2182,843,-22,-969,0,57
2016-03-05 13:00,2031,2094,837,-11,-968,0,49
2016-03-05 14:00,1959,2017,822,-14,-966,0,28
2016-03-05 15:00,1892,1947,834,-13,-949,22,7
2016-03-05 16:00,1882,1940,821,-21,-949,0,4
2016-03-05 17:00,1924,1986,816,-27,-951,0,23
2016-03-05 18:00,1968,2033,839,-22,-970,0,29
2016-03-05 19:00,2055,2123,873,-17,-972,0,50
2016-03-05 20:00,2087,2158,866,-15,-972,0,50
2016-03-05 21:00,2062,2133,839,-28,-972,0,71
2016-03-05 22:00,2024,2094,822,-41,-971,0,82
2016-03-05 23:00,1966,2032,719,-47,-955,0,83
2016-03-06 00:00,1913,1977,757,-48,-957,0,59
2016-03-06 01:00,1891,1955,814,-50,-930,0,-3
2016-03-06 02:00,1871,1933,759,-42,-954,0,48
2016-03-06 03:00,1877,1940,709,-43,-954,0,55
2016-03-06 04:00,1900,1961,658,-39,-954,0,54
2016-03-06 05:00,1924,1986,648,-36,-955,0,67
2016-03-06 06:00,1977,2041,754,-32,-979,0,69
2016-03-06 07:00,2048,2116,841,-29,-1004,0,74
2016-03-06 08:00,2108,2178,800,-19,-972,0,85
