HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2017-01-01 00:00,1932,1999,644,-11,-960,-21,147
2017-01-01 01:00,1877,1942,796,-18,-959,-25,127
2017-01-01 02:00,1844,1908,773,-38,-960,-25,135
2017-01-01 03:00,1806,1868,715,-37,-960,0,143
2017-01-01 04:00,1777,1833,769,-37,-959,0,135
2017-01-01 05:00,1774,1830,889,-36,-949,-15,65
2017-01-01 06:00,1779,1833,790,-31,-847,0,31
2017-01-01 07:00,1806,1858,792,-30,-921,28,18
2017-01-01 08:00,1839,1892,766,-42,-951,-15,14
2017-01-01 09:00,1912,1965,764,-41,-951,-16,6
2017-01-01 10:00,1953,2012,789,-40,-951,-56,13
2017-01-01 11:00,1960,2022,704,-39,-951,-49,45
2017-01-01 12:00,1946,2008,679,-37,-951,-34,72
2017-01-01 13:00,1917,1979,684,-6,-951,-31,76
2017-01-01 14:00,1886,1950,684,3,-951,43,71
2017-01-01 15:00,1850,1913,681,5,-951,99,73
2017-01-01 16:00,1851,1918,681,4,-953,75,79
2017-01-01 17:00,1915,1984,646,-2,-973,51,111
2017-01-01 18:00,1977,2050,587,-4,-973,113,113
2017-01-01 19:00,1958,2029,592,-2,-973,86,111
2017-01-01 20:00,1948,2020,648,-8,-973,117,110
2017-01-01 21:00,1917,1985,784,-12,-939,57,98
2017-01-01 22:00,1867,1931,704,-16,-933,85,93
2017-01-01 23:00,1800,1858,826,-18,-878,70,35
2017-01-02 00:00,1739,1797,913,-12,-940,117,0
2017-01-02 01:00,1701,1756,998,-20,-922,17,0
2017-01-02 02:00,1700,1756,994,-43,-922,49,-17
2017-01-02 03:00,1707,1757,778,-40,-922,44,-9
2017-01-02 04:00,1730,1776,813,-38,-919,24,-11
2017-01-02 05:00,1771,1819,819,-37,-919,1,-6
2017-01-02 06:00,1841,1897,801,-32,-923,29,0
2017-01-02 07:00,1942,2003,703,-13,-958,28,20
2017-01-02 08:00,2053,2118,739,-6,-958,-34,47
2017-01-02 09:00,2125,2194,708,-4,-953,-35,58
2017-01-02 10:00,2121,2192,694,-3,-980,-29,70
2017-01-02 11:00,2079,2147,663,7,-980,-22,72
2017-01-02 12:00,2026,2092,646,9,-970,43,67
2017-01-02 13:00,1942,2009,657,2,-975,79,88
2017-01-02 14:00,1883,1947,678,0,-949,75,88
2017-01-02 15:00,1832,1895,752,0,-968,74,79
2017-01-02 16:00,1849,1913,721,10,-950,74,81
2017-01-02 17:00,1963,2030,702,17,-969,51,114
2017-01-02 18:00,2092,2162,743,21,-979,-20,102
2017-01-02 19:00,2077,2148,770,24,-978,-7,100
2017-01-02 20:00,2064,2135,745,19,-958,7,94
2017-01-02 21:00,2046,2115,689,16,-950,-7,88
2017-01-02 22:00,2001,2065,702,14,-950,-14,84
2017-01-02 23:00,1921,1981,753,10,-951,-15,72
2017-01-03 00:00,1845,1902,814,1,-939,-15,89
2017-01-03 01:00,1804,1860,786,-5,-937,-14,56
2017-01-03 02:00,1801,1858,761,-6,-919,0,56
2017-01-03 03:00,1815,1873,769,-7,-919,-9,69
2017-01-03 04:00,1850,1909,689,-7,-919,-9,86
2017-01-03 05:00,1901,1961,645,-6,-920,0,97
2017-01-03 06:00,1988,2046,467,-3,-917,0,122
2017-01-03 07:00,2134,2203,264,8,-904,39,135
2017-01-03 08:00,2299,2383,167,13,-957,40,148
2017-01-03 09:00,2349,2436,145,13,-958,39,181
2017-01-03 10:00,2292,2376,411,13,-970,30,189
2017-01-03 11:00,2203,2285,426,13,-980,30,191
2017-01-03 12:00,2166,2246,426,14,-970,39,191
2017-01-03 13:00,2097,2173,497,16,-969,39,189
2017-01-03 14:00,2062,2136,560,14,-969,1,188
2017-01-03 15:00,2050,2125,581,13,-968,39,188
2017-01-03 16:00,2070,2148,586,12,-960,40,185
2017-01-03 17:00,2165,2245,518,5,-976,40,184
2017-01-03 18:00,2223,2304,545,11,-981,40,181
2017-01-03 19:00,2184,2264,574,9,-969,39,167
2017-01-03 20:00,2139,2217,619,5,-969,0,170
2017-01-03 21:00,2085,2161,639,-8,-969,-14,168
2017-01-03 22:00,2017,2090,714,-13,-969,-29,170
2017-01-03 23:00,1913,1975,755,-10,-872,-48,134
2017-01-04 00:00,1815,1870,785,-18,-849,-38,110
2017-01-04 01:00,1736,1781,657,-24,-601,-63,81
