HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2020-01-01 00:00,1711,1776,568,64,-943,128,26
2020-01-01 01:00,1649,1700,396,69,-666,155,17
2020-01-01 02:00,1625,1677,453,65,-838,156,30
2020-01-01 03:00,1607,1658,473,62,-829,155,5
2020-01-01 04:00,1590,1641,490,62,-832,154,-6
2020-01-01 05:00,1603,1658,498,63,-869,154,-8
2020-01-01 06:00,1638,1697,487,69,-900,155,-6
2020-01-01 07:00,1692,1751,488,69,-859,156,8
2020-01-01 08:00,1745,1810,505,73,-949,132,23
2020-01-01 09:00,1804,1865,477,79,-949,134,33
2020-01-01 10:00,1846,1910,472,82,-950,178,61
2020-01-01 11:00,1856,1921,418,82,-968,178,74
2020-01-01 12:00,1854,1918,361,88,-950,176,88
2020-01-01 13:00,1844,1906,399,85,-950,132,89
2020-01-01 14:00,1832,1893,404,82,-949,132,69
2020-01-01 15:00,1834,1896,420,81,-949,132,64
2020-01-01 16:00,1856,1923,414,75,-950,132,50
2020-01-01 17:00,1924,1996,406,77,-950,131,81
2020-01-01 18:00,1971,2048,451,85,-950,113,97
2020-01-01 19:00,1939,2017,470,86,-958,112,95
2020-01-01 20:00,1912,1989,497,74,-941,111,81
2020-01-01 21:00,1873,1948,499,68,-941,111,71
2020-01-01 22:00,1819,1892,471,77,-934,110,58
2020-01-01 23:00,1766,1832,519,59,-934,128,43
2020-01-02 00:00,1694,1756,541,57,-926,128,32
2020-01-02 01:00,1637,1692,538,51,-850,108,32
2020-01-02 02:00,1616,1669,499,39,-827,155,30
2020-01-02 03:00,1623,1676,550,37,-871,156,25
2020-01-02 04:00,1630,1685,574,27,-890,157,24
2020-01-02 05:00,1660,1718,575,27,-940,158,14
2020-01-02 06:00,1728,1793,573,38,-939,158,29
2020-01-02 07:00,1869,1943,572,43,-923,139,38
2020-01-02 08:00,1995,2076,526,57,-968,112,40
2020-01-02 09:00,2033,2114,517,65,-969,112,74
2020-01-02 10:00,2033,2111,510,65,-969,133,79
2020-01-02 11:00,2023,2104,524,66,-969,161,68
2020-01-02 12:00,1985,2066,435,66,-969,181,66
2020-01-02 13:00,1938,2012,497,64,-968,182,48
2020-01-02 14:00,1899,1969,513,59,-956,181,55
2020-01-02 15:00,1889,1958,502,62,-956,181,61
2020-01-02 16:00,1917,1988,487,67,-966,181,45
2020-01-02 17:00,1989,2065,451,66,-969,134,47
2020-01-02 18:00,2048,2128,479,76,-969,133,90
2020-01-02 19:00,2033,2113,515,77,-970,114,87
2020-01-02 20:00,2012,2092,504,82,-970,113,87
2020-01-02 21:00,1987,2066,470,79,-969,130,99
2020-01-02 22:00,1924,1998,419,75,-969,130,92
2020-01-02 23:00,1836,1906,408,69,-969,130,105
2020-01-03 00:00,1747,1810,426,61,-960,130,78
2020-01-03 01:00,1682,1740,349,55,-852,129,84
2020-01-03 02:00,1651,1716,405,66,-940,148,104
2020-01-03 03:00,1649,1715,401,65,-943,129,135
2020-01-03 04:00,1652,1719,387,65,-970,142,127
2020-01-03 05:00,1677,1745,339,65,-969,147,141
2020-01-03 06:00,1702,1773,308,65,-969,153,145
2020-01-03 07:00,1819,1894,320,52,-971,126,168
2020-01-03 08:00,1957,2033,312,61,-969,148,189
2020-01-03 09:00,2005,2089,292,68,-968,179,196
2020-01-03 10:00,2013,2097,209,70,-968,179,196
2020-01-03 11:00,1995,2076,152,63,-959,176,202
2020-01-03 12:00,1952,2029,168,72,-959,159,203
2020-01-03 13:00,1884,1961,228,86,-959,161,214
2020-01-03 14:00,1865,1940,212,85,-959,156,213
2020-01-03 15:00,1846,1920,234,84,-959,175,205
2020-01-03 16:00,1856,1930,284,83,-959,150,200
2020-01-03 17:00,1913,1991,207,79,-959,150,202
2020-01-03 18:00,1960,2041,291,89,-958,134,202
2020-01-03 19:00,1917,1995,314,90,-956,134,197
2020-01-03 20:00,1877,1953,366,87,-959,114,186
2020-01-03 21:00,1832,1907,396,81,-958,112,179
2020-01-03 22:00,1767,1839,418,64,-940,111,167
2020-01-03 23:00,1690,1755,424,52,-924,87,145
2020-01-04 00:00,1611,1666,357,35,-851,126,142
2020-01-04 01:00,1551,1600,454,33,-841,32,119
2020-01-04 02:00,1516,1562,536,43,-847,29,106
2020-01-04 03:00,1505,1548,532,42,-822,28,106
2020-01-04 04:00,1505,1546,494,41,-767,27,86
2020-01-04 05:00,1524,1566,509,35,-778,26,66
2020-01-04 06:00,1560,1602,503,45,-758,28,57
2020-01-04 07:00,1636,1687,496,48,-835,61,72
2020-01-04 08:00,1743,1808,481,38,-902,170,77
2020-01-04 09:00,1826,1898,479,43,-930,178,101
2020-01-04 10:00,1834,1905,439,54,-929,156,96
2020-01-04 11:00,1820,1889,399,61,-929,175,109
2020-01-04 12:00,1806,1874,352,69,-929,199,153
2020-01-04 13:00,1792,1858,303,85,-929,204,119
2020-01-04 14:00,1725,1791,323,84,-929,184,112
2020-01-04 15:00,1686,1752,317,89,-929,204,165
2020-01-04 16:00,1695,1763,268,88,-929,205,146
2020-01-04 17:00,1778,1852,214,80,-929,205,179
2020-01-04 18:00,1893,1973,156,87,-929,165,214
2020-01-04 19:00,1858,1937,223,88,-938,169,209
2020-01-04 20:00,1826,1903,263,87,-938,171,202
2020-01-04 21:00,1793,1868,307,81,-938,175,199
2020-01-04 22:00,1747,1819,276,77,-939,183,191
2020-01-04 23:00,1678,1741,377,73,-939,105,177
2020-01-05 00:00,1614,1672,343,76,-938,103,163
2020-01-05 01:00,1557,1613,366,68,-919,101,159
2020-01-05 02:00,1531,1586,425,62,-919,89,155
2020-01-05 03:00,1522,1580,423,62,-919,102,148
