HOUR,NB_LOAD,NB_DEMAND,ISO_NE,NMISA,QUEBEC,NOVA_SCOTIA,PEI
2017-10-01 00:00,1148,1185,322,23,-437,116,128
2017-10-01 01:00,1094,1124,328,16,-302,64,104
2017-10-01 02:00,1078,1104,276,8,-301,79,90
2017-10-01 03:00,1069,1092,347,2,-301,80,56
2017-10-01 04:00,1063,1089,343,2,-301,80,51
2017-10-01 05:00,1074,1099,346,6,-301,80,46
2017-10-01 06:00,1101,1126,340,-2,-301,80,49
2017-10-01 07:00,1153,1181,354,-3,-305,80,22
2017-10-01 08:00,1232,1266,355,-3,-353,123,28
2017-10-01 09:00,1326,1367,359,3,-390,100,25
2017-10-01 10:00,1366,1413,365,6,-497,100,34
2017-10-01 11:00,1354,1406,352,7,-580,129,44
2017-10-01 12:00,1327,1378,377,17,-578,130,60
2017-10-01 13:00,1301,1349,378,19,-556,130,58
2017-10-01 14:00,1256,1300,377,21,-512,159,45
2017-10-01 15:00,1209,1251,332,20,-434,160,38
2017-10-01 16:00,1199,1242,377,16,-484,158,33
2017-10-01 17:00,1251,1293,404,15,-540,101,37
2017-10-01 18:00,1277,1322,405,18,-540,100,46
2017-10-01 19:00,1279,1328,396,19,-526,100,67
2017-10-01 20:00,1334,1382,391,20,-600,100,99
2017-10-01 21:00,1276,1321,407,21,-604,100,80
2017-10-01 22:00,1239,1276,403,18,-555,100,48
2017-10-01 23:00,1154,1187,395,8,-499,98,28
2017-10-02 00:00,1069,1095,377,-3,-302,30,17
2017-10-02 01:00,1020,1043,424,-5,-301,0,28
2017-10-02 02:00,1000,1023,447,-13,-300,-3,25
2017-10-02 03:00,995,1017,428,-12,-300,-16,41
2017-10-02 04:00,1005,1028,446,-12,-300,-29,47
2017-10-02 05:00,1032,1054,446,-12,-300,-45,23
2017-10-02 06:00,1090,1113,400,-7,-306,-45,14
2017-10-02 07:00,1263,1297,344,1,-354,1,16
2017-10-02 08:00,1447,1499,366,12,-628,97,32
