Fuel, Capacity, GHG_MWh, Timezone
'NUCLEAR', '0.0', '8.0', ''
'HYDRO_RES', '0.0', '17.0', ''
'HYDRO_RUN', '0.0', '6.0', ''
'CO_GEN', '0.0', '0.0', ''
'BIOMASS', '0.0', '0.0', ''
'NATGAS', '0.0', '620.0', ''
'OIL', '0.0', '878.0', ''
'COAL', '0.0', '880.0', ''
'WIND', '0.0', '14.0', ''
'SOLAR_PV', '0.0', '64.0', ''
'STORAGE', '0.0', '15.0', ''
